"design","m","m1","T","sigma2_eps","sigma2_f","k","df_eff_avg","pop_opt","pop_opt_Eest_paper","pop_opt_Eest_df","pop_avg","Average","RestrOLS","Shrink","RSM","MSE","Rank","sd_Average","sd_RestrOLS","sd_Shrink","sd_RSM","sd_MSE","sd_Rank"
"RandomSigma_nonneg",50,NA,300,1,1,17,48.9960411125419,1.00000367232123,1.16333760546703,1.16332440912709,1.49593970435051,1.49608072264155,1.19404346082164,1.19401775603135,1.43979840619198,1.49617261246505,1.50473405826183,0.0682653572080797,0.0669574729056057,0.0669530427966335,0.0723243871429207,0.0682853705395874,0.0688660608806073
"RandomSigma_nonneg",50,NA,300,1,1.2,17,48.9967012418854,1.00000442962504,1.16333848646379,1.16332749055476,1.59517975618958,1.59496906418588,1.19956995003993,1.19954371756745,1.52054037696712,1.59506718957131,1.60504356974524,0.0703650101757204,0.0704314871589187,0.0704268708839793,0.0787492027624177,0.0704480618040465,0.0717745811531875
"RandomSigma_unconstrained",20,NA,100,1,0.75,10,18.990107434297,1.00000235492154,1.19000280235663,1.18990387647042,1.38428127053739,1.38316587070168,1.23979337689388,1.23976167948389,1.36754763635092,1.38338238476295,1.39463342525709,0.063645143398708,0.0989988051749965,0.098988554124892,0.0885225691851703,0.0636468659652876,0.0647547544046239
"RandomSigma_unconstrained",20,NA,100,1,1,10,18.992538674215,1.00000313912828,1.19000373556265,1.18992912207317,1.51310567282026,1.51036639501364,1.2369733934045,1.23694185078965,1.45634262955877,1.51080544496286,1.5256246872919,0.0714088121270678,0.103496862738326,0.10348664358939,0.100311917512292,0.0713296632681835,0.0720583554640423
"RandomSigma_unconstrained",20,NA,100,1,1.2,10,18.9938138667937,1.00000380139062,1.19000452365483,1.18994266209071,1.61444695184678,1.61919297498353,1.23858165048123,1.23855071347027,1.54854118276213,1.61977621524536,1.63728384295176,0.0762666731401007,0.104118808319122,0.10410887677534,0.111362050722434,0.0763234255193461,0.0782551433842785
"RandomSigma_unconstrained",20,NA,300,1,0.75,17,18.9971503716742,1.00000234650476,1.06333582845006,1.06332632966692,1.38522022513049,1.3878207614628,1.06969757332716,1.06968845870783,1.05211878514947,1.38792017810836,1.3995859827353,0.0647293976681465,0.0548590084542837,0.0548575102405439,0.0525592741750569,0.0647699721222061,0.0658169288909558
"RandomSigma_unconstrained",20,NA,300,1,1,17,18.9978698977626,1.00000310414698,1.06333663407629,1.06332953371367,1.5118786576363,1.50899790385598,1.06600628930021,1.06599729832875,1.04881196623785,1.50910600665898,1.524012529091,0.069239430555969,0.0539726375532412,0.0539708597222168,0.0510165641742533,0.0692274255195053,0.0705839135582399
"RandomSigma_unconstrained",20,NA,300,1,1.2,17,18.9982243194488,1.0000037957639,1.06333736949561,1.06333145053819,1.61531775032563,1.61677826425629,1.06705422463538,1.06704528135264,1.04998638277963,1.61697131039983,1.63482536813015,0.0733218374342412,0.0545356131446233,0.0545336245565158,0.0523356320159037,0.0734174207339289,0.075878469938015
"RandomSigma_unconstrained",50,NA,100,1,0.75,10,48.9736232292519,1.00000275823959,1.49000410977699,1.48974034134231,1.37207624553057,1.37166034230997,1.99502858386037,1.99489769456699,1.41052020553693,1.37189091629684,1.37853604010587,0.0568345564412537,0.310955243999738,0.310916368348835,0.0637571806931856,0.0568363943854983,0.0571340428153703
"RandomSigma_unconstrained",50,NA,100,1,1,10,48.9802873046585,1.00000368405208,1.49000548923759,1.4898083615586,1.49651802192972,1.49461135827365,1.98127550484425,1.9811453143856,1.52866635127376,1.49480001344459,1.50272556676567,0.0637124901865814,0.300570221753543,0.300531117761533,0.0685742619626614,0.0636218313412652,0.063547845344748
"RandomSigma_unconstrained",50,NA,100,1,1.2,10,48.9835247597557,1.00000444489883,1.49000662289925,1.48984186976488,1.59611365311785,1.59479218777483,1.97114873585399,1.97102026631103,1.62657163050026,1.59508924741174,1.6048226266893,0.0716820428041325,0.28935569081751,0.289319918466668,0.0797348101991921,0.0716898623859167,0.0723608947829777
"RandomSigma_unconstrained",50,NA,300,1,0.75,17,48.9947201882659,1.00000278761165,1.16333657625488,1.16331897683343,1.37244714084411,1.37472015723419,1.19919297860605,1.19916690470835,1.3436107724271,1.37481123028639,1.38163888104624,0.0621377097591557,0.069327921173797,0.0693232880452481,0.0669968000756181,0.0621597720017877,0.062776443056866
"RandomSigma_unconstrained",50,NA,300,1,1,17,48.9960436340613,1.00000365924301,1.1633375902527,1.16332440231803,1.495882703742,1.49465487881984,1.19950620920107,1.19947985728264,1.43945556599276,1.49475730001518,1.50337765732656,0.0671274314267102,0.0719627266142412,0.0719578632147748,0.0739089418079073,0.0671598690393029,0.0679756380801043
"RandomSigma_unconstrained",50,NA,300,1,1.2,17,48.9966988049063,1.00000444102929,1.16333849973074,1.16332749569831,1.59561743426486,1.59551801291097,1.19558833233035,1.19556225682863,1.51791918193337,1.59558034459455,1.60520621145371,0.0731055458143119,0.069198183540556,0.0691936643680289,0.0777757412307714,0.073119547578507,0.0738329676831876
