T_len,rho,R2_target,phi_f,phi_eta,phi_u,z,rmsfe_base,rmsfe_rs,rel_rmsfe,rmse_pooled_base,rmse_pooled_rs,bias_base,var_base,bias_rs,var_rs,Q_ols,Q_rs_bag,Q_rs_subavg,L_ols,L_rs_bag,L_rs_subavg
500,0.000000,0.300000,0.7,0.3,0.0,8,1.055599,1.043741,0.988767,1.069865,1.057780,0.000213,1.144398,0.000174,1.118725,0.917026,1.063178,1.111364,1.008926,1.078399,1.127275
500,0.000000,0.300000,0.7,0.3,0.0,9,1.055599,1.042537,0.987626,1.069865,1.056546,0.000213,1.144398,0.000169,1.116119,0.917026,1.055129,1.103911,1.008926,1.072393,1.121973
500,0.000000,0.300000,0.7,0.3,0.0,10,1.055599,1.041294,0.986449,1.069865,1.055307,0.000213,1.144398,0.000165,1.113508,0.917026,1.047408,1.097007,1.008926,1.066687,1.117200
500,0.000000,0.300000,0.7,0.3,0.0,11,1.055599,1.040239,0.985449,1.069865,1.054231,0.000213,1.144398,0.000162,1.111240,0.917026,1.039978,1.090499,1.008926,1.061248,1.112803
500,0.000000,0.300000,0.7,0.3,0.0,12,1.055599,1.039353,0.984610,1.069865,1.053299,0.000213,1.144398,0.000156,1.109283,0.917026,1.032825,1.084297,1.008926,1.056061,1.108691
500,0.000000,0.300000,0.7,0.3,0.0,13,1.055599,1.038408,0.983714,1.069865,1.052356,0.000213,1.144398,0.000152,1.107302,0.917026,1.025961,1.078345,1.008926,1.051141,1.104810
500,0.000000,0.300000,0.7,0.3,0.0,14,1.055599,1.037620,0.982968,1.069865,1.051552,0.000213,1.144398,0.000150,1.105612,0.917026,1.019386,1.072610,1.008926,1.046489,1.101129
500,0.000000,0.300000,0.7,0.3,0.0,15,1.055599,1.036912,0.982297,1.069865,1.050813,0.000213,1.144398,0.000144,1.104063,0.917026,1.013069,1.067042,1.008926,1.042076,1.097595
500,0.000000,0.300000,0.7,0.3,0.0,16,1.055599,1.036436,0.981847,1.069865,1.050340,0.000213,1.144398,0.000140,1.103075,0.917026,1.007002,1.061615,1.008926,1.037895,1.094183
500,0.000000,0.300000,0.7,0.3,0.0,17,1.055599,1.036045,0.981476,1.069865,1.049918,0.000213,1.144398,0.000133,1.102195,0.917026,1.001193,1.056327,1.008926,1.033955,1.090893
500,0.000000,0.300000,0.7,0.3,0.0,18,1.055599,1.035656,0.981108,1.069865,1.049508,0.000213,1.144398,0.000133,1.101335,0.917026,0.995640,1.051157,1.008926,1.030257,1.087704
