"Var","Selected","mean_weight_nonzero","w_bar","Prediction","Hist_mean","Shapley"
"UEMP27OV",0.071,0.174553336597657,0.0101240935226641,0.814451638405833,0.842752541215812,-0.000286520986824053
"CLAIMSx",0.066,0.196466346795605,0.0113950481141451,0.829455080675157,0.878115261829324,-0.000554485105494758
"PAYEMS",0.059,0.446161499299929,0.0263235284586958,0.258878405719454,0.608505236890394,-0.00920341184025188
"USGOOD",0.08,0.411956389577161,0.0329565111661729,0.330370567706906,0.682997843369666,-0.0116213647478769
"CES1021000001",0.052,0.0188254830217562,0.000564764490652685,0.873380131099588,0.85390150399143,1.10008369173525e-05
"USCONS",0.076,0.320051976183063,0.0233637942613636,-0.211389411765894,0.854132943877412,-0.0248946450981337
"MANEMP",0.064,0.304446877667661,0.0173534720270567,0.991135981321722,0.596449534086164,0.00684918022156064
"DMANEMP",0.075,0.384968546644212,0.0277177353583833,0.99652434089319,0.667089686608333,0.00913118256534815
"NDMANEMP",0.087,0.188663235685964,0.0118857838482157,0.914221102533164,0.49789564228115,0.00494835443106436
"SRVPRD",0.06,0.344777407983298,0.019652312255048,0.16448657875614,0.498858617911175,-0.00657118372283186
"USTPU",0.071,0.314435118104619,0.0220104582673234,0.27257036976156,0.582551712222743,-0.00682283140189074
"USWTRADE",0.073,0.299275518106493,0.0203507352312415,0.214086492179644,0.653842970396574,-0.00894936765441597
"USTRADE",0.051,0.289299745447447,0.0144649872723724,0.753282966865987,0.564694751194762,0.00272792613940369
"USFIRE",0.059,0.212463487680785,0.011897955310124,0.219222784614592,0.633593050044476,-0.00493015889992897
"USGOVT",0.066,0.0670968964864554,0.0024154882735124,0.602851940374394,0.761466059999555,-0.00038313054596807
"CES0600000007",0.057,0.0705226886657469,0.00275038485796413,0.515752223379962,1.06679209735398,-0.00151557172551261
"AWOTMAN",0.073,0.0638723189125505,0.00370459449692793,0.781419633585667,0.845135216847879,-0.000236040399121742
"AWHMAN",0.07,0.0410648615981785,0.00221750252630164,0.751781965139897,1.1111130623557,-0.000796817615854791
"HOUST",0.078,0.172534102258545,0.0129400576693909,-0.546920224578362,0.844764213087476,-0.0180084768809898
"HOUSTNE",0.062,0.134003016072917,0.00656614778757291,-0.109808536841349,0.563154595373982,-0.00441877538171383
"HOUSTMW",0.069,0.310383925445521,0.0214164908557409,-0.471045233051348,0.795811143408651,-0.0271316180019927
"HOUSTS",0.072,0.110617968033079,0.00652646011395166,-0.0525556885492717,0.958004219527533,-0.00659537893282192
"HOUSTW",0.07,0.155690421594445,0.00918573487407224,-0.167714723443269,0.863674887803024,-0.00947407152078088
"PERMIT",0.053,0.117253458517854,0.00480739179923203,-0.127319168012885,0.973386946200794,-0.0052915255468354
"PERMITNE",0.067,0.169393354849021,0.00982481458124321,-0.0954473174517023,0.609762616656915,-0.00692855684346791
"PERMITMW",0.065,0.231160384435598,0.0141007834505715,-0.314660971191782,0.917391097665846,-0.01737289942279
"PERMITS",0.078,0.0486345316919693,0.00223718845783059,0.488812948170803,0.996469659004939,-0.00113572373401837
"PERMITW",0.068,0.121376607373107,0.00667571340552089,0.00128183021106398,0.873558435477621,-0.00582306862710021
"ACOGNO",0.072,0.142738656448575,0.00756514879177447,0.626626674683473,0.864300673423461,-0.00179803916440403
"AMDMNOx",0.066,0.416310516034778,0.0274764940582954,1.22185594042921,0.805261643039941,0.0114465507369359
"ANDENOx",0.072,0.103842982026755,0.00477677717323073,0.977395459870389,0.757485920500679,0.00105045886783692
"AMDMUOx",0.053,0.0837891221446497,0.00217851717576089,0.750785843748059,0.772500734213095,-4.7306261847848e-05
"BUSINVx",0.07,0.201153829658257,0.0100576914829128,0.648472056871574,0.793252234710978,-0.00145615436154998
"ISRATIOx",0.054,0.11710922971232,0.00468436918849281,1.09995267312311,0.912139959810699,0.000879784087447871
"M1SL",0.067,1.32702391301982e-16,4.51188130426738e-18,0.679744054288522,0.861182708477691,-8.18629671707542e-19
