"Var","Selected","mean_weight_nonzero","w_bar","Prediction","Hist_mean","Contribution"
"HOUST",0.102,0.664063446017508,0.0677344714937858,1.06041262803198,0.890154444500415,0.0115323480790026
"HOUSTNE",0.103,-0.232756953983047,-0.0239739662602539,0.654391409110078,0.559177510210654,-0.00228265479972202
"HOUSTMW",0.085,0.823299878237739,0.0699804896502079,0.992970762141798,0.93221497846129,0.00425171949104404
"HOUSTS",0.097,0.957783960874376,0.0929050442048145,1.0513598962645,0.975448092197921,0.00705258951247304
"HOUSTW",0.092,0.107943628406584,0.00993081381340574,1.06401573738044,0.906260133710927,0.00156664152806338
"PERMIT",0.091,0.476984566555555,0.0434055955565555,1.18107516409305,1.01121512944874,0.00737287596499355
"PERMITNE",0.108,-0.0298694282141361,-0.0032258982471267,0.707787736481102,0.608661292272906,-0.000319771822615125
"PERMITMW",0.132,0.546727081835553,0.072167974802293,1.07582407560725,1.04565996691248,0.00217688263621735
"PERMITS",0.102,0.3205739521274,0.0326985431169948,1.05625200898551,1.01554079585711,0.00133119735782441
"PERMITW",0.078,0.3128188405071,0.0243998695595538,1.08035890863185,0.907817339514718,0.00420999178005878
"ACOGNO",0.087,-0.104156439966238,-0.00906161027706269,0.213706359006505,0.877752799502189,0.0060173300496426
"AMDMNOx",0.103,0.348630444076093,0.0359089357398376,0.456591667203932,0.806273617471354,-0.0125567066815339
"ANDENOx",0.087,-0.0722876755647337,-0.00628902777413183,0.717417645638263,0.754216165852141,0.000231426915672027
"AMDMUOx",0.093,0.479054040726104,0.0445520257875276,0.688783242788382,0.726632821157546,-0.00168627539155004
"BUSINVx",0.082,0.320918182988846,0.0263152910050854,0.77211294052113,0.819559897120409,-0.00124858047021568
"ISRATIOx",0.105,0.152059475957612,0.0159662449755493,0.179303310139844,0.886922024219148,-0.0112980137382733
"M1SL",0.101,-0.47148509085201,-0.047619994176053,0.701613445558835,0.860478940691286,0.0075651739529831
"M2SL",0.101,0.266908560913525,0.026957764652266,0.40717270522983,0.855203734299238,-0.0120779150385657
"M2REAL",0.097,-0.160134539748869,-0.0155330503556403,1.29068725127759,0.856716415209742,-0.00674089084952119
"AMBSL",0.11,-0.777453697211991,-0.0855199066933191,0.868310672949502,0.85820960901846,-0.000863842044885909
"TOTRESNS",0.103,-1.34950890104916,-0.138999416808063,0.801224526597433,0.878463655826782,0.0107361939176422
"NONBORRES",0.094,-1.19886652246981,-0.112693453112162,0.795232862021078,0.873421337046632,0.00881132924420368
"BUSLOANS",0.093,0.0365034659487067,0.00339482233322972,0.733779968636195,0.854925320975022,-0.000411266947686834
"REALLN",0.098,0.271763698333485,0.0266328424366815,1.05257133964254,0.863479425580118,0.00503605515327497
"NONREVSL",0.096,-0.150323773648994,-0.0144310822703034,1.56824649135265,0.857872231279777,-0.0102514693898176
"CONSPI",0.105,-1.18630063413883,-0.124561566584577,0.998320009510856,0.899393663177805,-0.0123224206757332
"S&P 500",0.116,-5.47768231763854,-0.63541114884607,0.916219288222342,0.846805610561424,-0.0441062246681544
"S&P: indust",0.098,0.358578268702907,0.0351406703328849,0.926455243398205,0.846315316491823,0.00281617075191866
"FEDFUNDS",0.111,0.99255564012256,0.110173676053604,0.844132805510966,0.842997651872021,0.000125064049288295
"CP3Mx",0.098,2.44521868673733,0.239631431300258,0.839533745320553,0.840558236497737,-0.00024550028714305
"TB3MS",0.097,1.4165208896797,0.137402526298931,0.823233887491925,0.840772442587575,-0.00240984177777521
"TB6MS",0.119,1.93442800999457,0.230196933189354,0.824424245467625,0.837882595171777,-0.00309807082768558
"GS1",0.099,0.774140635746073,0.0766399229388613,0.820995224354881,0.836209123181294,-0.00116599203365588
"GS5",0.104,-0.131333368726134,-0.0136586703475179,0.728742188104259,0.826956103551348,0.00134147149463078
"GS10",0.104,0.211688406054902,0.0220155942297098,0.724051474773546,0.824893280646507,-0.00222009227949028
"AAA",0.099,-0.218648933884688,-0.0216462444545841,0.536080331304922,0.832912130704418,0.00642529369169556
"BAA",0.09,-1.15903866084741,-0.104313479476267,0.707172532405309,0.845655302897527,0.0144456196375565
"COMPAPFFx",0.093,1.30671442253005,0.121524441295295,0.762250229027162,0.860951779832818,-0.0119946508166366
"TB3SMFFM",0.109,0.0378393773611247,0.00412449213236258,1.03150661942426,1.02001684043553,4.73895030416084e-05
"TB6SMFFM",0.099,0.206825768756472,0.0204757511068907,0.953768957843226,0.973337547782106,-0.000400681577101318
"T1YFFM",0.08,0.803039885900085,0.0642431908720068,0.813138447704298,0.91192233953384,-0.00634619241788497
"T5YFFM",0.093,0.76139311516031,0.0708095597099088,0.981679772079791,0.948941752833519,0.00231816472860306
"T10YFFM",0.105,0.372395964662191,0.0391015762895301,1.0661078734155,0.962552667398585,0.00404917178824841
"AAAFFM",0.106,-0.822021054477075,-0.0871342317745699,1.0580879904482,1.00509613797868,-0.00461740435524269
"BAAFFM",0.096,-0.95857006126931,-0.0920227258818537,0.981711960857945,0.935587664619072,-0.00424448346928321
"TWEXMMTH",0.087,-0.519515771707118,-0.0451978721385193,0.776285611196981,0.750854302211324,-0.00114944105184888
"EXSZUSx",0.102,-0.175971210257694,-0.0179490634462848,0.764839968245346,0.864835618639972,0.00179482827328567
"EXJPUSx",0.095,-0.0146154842992376,-0.00138847100842758,0.857557997341729,0.849973003585918,-1.05315439290481e-05
"EXUSUKx",0.094,-1.42207994756795,-0.133675515071388,0.799598735220486,0.854991318269223,0.00740463207017453
"EXCAUSx",0.104,-2.01136874782873,-0.209182349774188,0.723005272285082,0.858726482120547,0.0283904815875782
"PPIFGS",0.09,-0.36730970646622,-0.0330578735819598,0.164240204858679,0.86180462932169,0.0230599965591708
"PPIFCG",0.083,0.125835622388858,0.0104443566582752,0.0391431103079931,0.861737925353216,-0.00859147363358021
"PPIITM",0.1,0.0404958107471094,0.00404958107471094,-0.275404644414678,0.864665506874202,-0.00461680650850229
"PPICRM",0.1,-0.369975310862506,-0.0369975310862506,0.455450351351616,0.860634779460457,0.0149908234746215
"OILPRICEx",0.087,-1.16560700658998,-0.101407809573328,0.884541005314876,0.850770692800818,-0.00342457342065735
"PPICMM",0.104,-0.730003285425547,-0.0759203416842568,0.841546466619714,0.85391013368228,0.000938653827860435
"CPIAUCSL",0.109,-1.39249095400569,-0.151781513986621,0.678981154720981,0.85491545002874,0.0267035737039808
"CPIAPPSL",0.097,-0.0294249629774488,-0.00285422140881254,0.845754313002112,0.853331295128526,2.16263845994011e-05
"CPITRNSL",0.12,-1.22193097690215,-0.146631717228257,0.538525550742364,0.857549578788575,0.0467790410694918
"CPIMEDSL",0.093,-0.536173405969535,-0.0498641267551668,0.911594197124521,0.853091553823636,-0.00291718322106765
