"","k2","k3","k4","k5","k6","k7","k8","k9","k10","k11","k12","k13","k14","k15","k16","k17","k18","k19","k20","k21","k22","k23","k24","k25","k26","k27","k28","k29","k30","k31","k32","k33","k34","k35","k36","k37","k38","k39","k40","k41","k42","k43","k44","k45","k46","k47","k48","k49","k50","k51","k52","k53","k54","k55"
"2002-03",0.887471098443867,0.816051776992124,0.798189709251284,0.825110489764269,0.83298905096484,0.824668510412996,0.803722882089524,0.843327737786601,0.840738782435567,0.851294074482598,0.814647814861295,0.917475466510058,0.919767292067549,0.866966657951856,0.923933636597624,0.987174987641794,0.920807149946292,0.915541460851755,0.972628799254159,0.8937711504925,0.860627786312801,1.0081021026269,0.886736016046251,1.04119060005165,0.909999817713044,0.985705606602172,0.933227615977136,1.00604210406239,0.898151569408383,0.836522407025097,0.850707342124095,0.905349511074025,0.583115650355003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2002-06",0.768529738057127,0.759856618089855,0.73114263132286,0.74084046641219,0.72368087701721,0.694040170648445,0.70469585003423,0.630581957783937,0.669623597566342,0.680963171383283,0.657527722835181,0.73392710035384,0.70664025446142,0.660704075852215,0.764479276729827,0.687587356972244,0.649576947134542,0.732989662549095,0.67442019342249,0.781315450737717,0.736189042674828,0.698489158699539,0.703780453522932,0.62860063529477,0.769176775222025,0.752930764195091,0.775353031824802,0.969663583700309,0.849725728509555,0.696081859666177,1.05971768440191,0.758860439711321,0.916988396266756,0.856380668044124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2002-09",0.850962404044857,0.817805179475011,0.802479440687421,0.802063605164237,0.789374548975537,0.737079038423315,0.785942487610801,0.743356884964424,0.767107808676879,0.808988012322705,0.729356433336871,0.832380781699079,0.765569028970509,0.817506750057796,0.791812470576189,0.830312866274055,0.743940803917482,0.850138341512894,0.882781296465835,0.883004270256004,0.845513833870329,0.837398454965968,0.805407292833396,0.854112732600136,0.845378124427764,0.878453893318425,0.900781882579691,0.852283518087667,1.07730001557887,0.918367655886408,1.12647554963878,1.12903601272415,1.17074641150875,1.16554340505292,0.865762356773388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2002-12",0.70663271195577,0.697889655794636,0.64440268687412,0.601954082388577,0.616767984841634,0.566643328766745,0.554075702701074,0.529957955492912,0.571692187992227,0.563720216265466,0.540051145852619,0.493098729136427,0.451549146035529,0.447587505621508,0.532667328998838,0.444745892690442,0.440167395013882,0.429929845646147,0.518453095609279,0.473937112190187,0.364617252032457,0.517516187051724,0.403072992648874,0.542644525068255,0.462418185237969,0.422712082571003,0.401890697409633,0.469469017341283,0.429909081535734,0.41286033384952,0.36107934745592,0.331791590598169,0.29305560195151,0.782745142140458,0.510027520278921,0.380433933796001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-03",0.85160083604221,0.850912014302396,0.857132514031039,0.833390086639877,0.800015187029019,0.871370404140789,0.859948396800224,0.842463720419277,0.886337999066865,0.940306478631663,0.874945200416464,0.873025273633549,0.916512324182577,0.929922461895512,0.924953044274784,0.891619077881913,0.92147833828876,0.953435933311003,0.894871967269232,0.958024558583423,0.943555643035661,1.01523536492393,0.952854192072419,1.04605448128212,1.05974014159683,0.982112237343774,0.993071761880967,0.980348247973672,0.990523841016867,0.947258575411126,0.999722552977923,1.13651417822478,0.71668077580269,0.995589372332753,1.1614889038286,0.842626454348301,1.08835202058706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-06",0.658648217823622,0.59969948926047,0.533093614872671,0.541220065596227,0.485335919688993,0.456512902029902,0.44899923742928,0.422438255654106,0.421776156993395,0.396158429053173,0.332630206715923,0.360347020609031,0.211330002270506,0.272801134338673,0.285399332007988,0.292057460925288,0.208116352716034,0.154327223826583,0.190780620635632,0.27445230658358,0.19969018644261,0.0921039382204448,0.150457395781097,0.113942446498616,0.210440148708427,0.121774879958496,0.173617338184034,0.14988958500982,0.0559743577635511,0.0946057012046502,0.234922139210304,-0.0348237106860202,0.0165842923561236,0.0879664438378869,-0.0235194349206545,-0.0288210690910145,0.00550871429223221,-0.0714479184991145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-09",0.860477213286922,0.901782482119647,0.897797852299884,0.869002557206229,0.88113957396916,0.955392395017716,0.921179327720485,0.992067169864494,0.977926101523665,0.980963217947564,1.04412125750382,1.06733392764312,1.096108442788,1.08722593729322,1.16933085025546,1.13081706538741,1.24531318917065,1.15410925780667,1.22853495201272,1.24597884473412,1.24883276229324,1.29495223200049,1.34514044928712,1.21599392083212,1.22998007904603,1.33310316139306,1.2934965629622,1.31027281262642,1.28873826181341,1.39997215429346,1.34107774186444,1.3649217505312,1.40993171536262,1.46417744254576,1.26006129866817,1.31973689768191,1.29722948944185,1.25002842820791,1.21967591344469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2004-03",0.877777803447003,0.902605837314468,0.90538574898508,0.909001742037358,0.947314461864112,1.01168433739697,0.987365627467426,1.07851049859332,1.0129991315306,1.04021027186045,1.05033575909838,1.06811388341157,1.02302754428409,1.09602543406499,1.05916399554299,1.0572114929559,1.06603126278119,1.04728982288883,1.03524410153381,1.0906648543029,1.05205927121677,1.09743061074936,0.990697868249549,1.11975046394029,1.07657283318016,1.06163710926275,1.06993071345136,1.04805808214587,1.05021485647164,1.11486783913909,1.07861100104002,1.07392746371471,1.14445969781706,1.12500968792314,1.15322869936105,1.11025268845632,1.18799720811636,1.16714063449971,1.11495763794346,1.18723185755278,1.28396530973935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2004-06",0.971035683495165,1.0560593453165,1.06338090297998,1.03212961314259,1.16876884304504,1.17272234745534,1.17489613499441,1.1834519648513,1.24543600316556,1.2901343241166,1.29150150366253,1.29747517609736,1.29379634709404,1.29784967031772,1.27623695697886,1.32896784869703,1.31574660237782,1.32272113621628,1.26116171143671,1.38614189714657,1.29653911817489,1.30426546391293,1.31644028894849,1.24920767233801,1.36080995732496,1.32945574064126,1.31250063601994,1.24025681487335,1.21932204493327,1.26468015981503,1.18497046998428,1.30152433829068,1.1905406804051,1.20747050247296,1.16985710719401,1.17087073548207,1.12696210102499,1.26459493407382,1.12322102305807,1.24050713519861,1.21107183613486,1.11199915058105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2004-09",0.876329396377275,0.885157033550584,0.870675376947859,0.887657381328462,0.91667856628148,0.934578049889255,0.937838855331676,0.948864230743628,0.959481699256795,0.948572508214454,0.934501723897441,0.955333152625723,0.868086248841752,0.877235866332313,0.945594947193796,0.875405619632977,0.895484984141783,0.786927205716312,0.787692143717451,0.744627120863211,0.755704966792368,0.743005355889945,0.788747145128078,0.759966347722581,0.741487801948672,0.676791541863919,0.637553263852437,0.643864784897272,0.61088901324342,0.568559658769092,0.676742191409679,0.587019984598375,0.579708731330237,0.54341756729819,0.569292505655296,0.448739586007557,0.578476147569881,0.393915023767718,0.460703246336538,0.444818567638279,0.423854976406027,0.497840063952953,0.350605995506467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2004-12",0.889730296681787,0.918766867176577,0.909995847082976,0.917146460642542,0.948377303813627,0.983411259546314,0.980495115008174,1.00327744620484,0.97826011835572,1.02604129615876,1.02805226868436,1.03515333922101,1.04402136474392,1.02912303518574,1.032313332268,1.0375099742388,1.03802133487997,1.04296661554539,1.06275868653011,1.00642942547145,1.09203342085591,1.09167597423179,1.10981855243505,1.04876400571619,1.09173061069866,1.07852462589818,1.07332608473706,1.05274307465818,1.05210697293441,1.05536275488291,1.06031345645128,1.13067547622937,1.08819786982318,1.12579445861361,1.08319959354034,1.1701536724822,1.10051554445693,1.14922082223841,1.16475939609723,1.12603210931777,1.03396865979456,1.20150107372932,1.06742248579308,1.17836240815152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2005-03",0.899027328186679,0.905961880595363,0.885563193934928,0.884761683252689,0.883018491447379,0.906247741734919,0.923486098832225,0.942141351954295,0.916907617611377,0.917828626298917,0.934645417644117,0.958977893815475,0.949227368179171,0.932222182724945,0.964359591564753,0.95533350890602,0.943818909521835,0.916866333566987,0.964396682660934,0.939144696738778,0.969999793460247,0.954935683715487,0.983489485752738,1.06759508441846,0.944785401849582,1.02237428381779,0.9867113229837,0.976005665578417,1.00040270910458,1.01136402964144,0.980090193597042,0.976756792542635,1.04312477946412,0.944955949931231,1.06001909335766,1.06894056065335,1.07032480274417,1.08072095616024,1.05501250036201,1.04973792923152,1.01935029553229,1.16383150332821,1.08421306102641,1.05774121332776,1.16367856811048,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2005-06",0.831389332988733,0.83151294233451,0.830915306499477,0.881760329632926,0.867575753849544,0.877972802563449,0.830804333611818,0.816863055216572,0.829303768211173,0.806947062368691,0.784906076878641,0.843817174240787,0.808757393659677,0.78755224079118,0.767128351187904,0.737761804572622,0.676338705172879,0.73057898262589,0.768244769193334,0.734843199749133,0.685685018324965,0.693840399409012,0.764044190815545,0.630373400827864,0.634805963354868,0.76481728675353,0.672704931653853,0.735782612992434,0.680784442636377,0.670486833724029,0.770348642650051,0.592741592173584,0.729115404132422,0.610983320674221,0.847222944105082,0.733747361151673,0.737487020297953,0.799685531877587,0.748903872176325,0.862325697308661,0.760346364241488,0.851685108896419,0.88905970740616,1.00713919912385,0.820509196495224,0.908432228881019,NA,NA,NA,NA,NA,NA,NA,NA
"2005-09",0.855463815330864,0.871516750313254,0.894543945857011,0.894596697169744,0.899437962223035,0.941343302576737,0.953473043998152,0.969523942310066,0.985049351408952,0.988400155720168,1.00561688961834,0.9990490477497,1.04646475236579,1.07849970120282,1.10688649310557,1.03122951344125,1.07076964216065,1.05817402900759,1.09307420222269,1.0900292424935,1.1787929420951,1.06389622158654,1.1428836048138,1.22384353072277,1.12559303068105,1.19246167883698,1.24993448856363,1.20634316404612,1.19172490090888,1.23342719349441,1.27359147796895,1.31199267667932,1.26399984865923,1.26718506105676,1.39583478357666,1.31034928675994,1.35724777475319,1.36540732863539,1.36124715874448,1.42215131152283,1.50091318077727,1.47240676920157,1.49166470636033,1.62797982978084,1.66951108285862,1.46983431955364,1.56721674137101,NA,NA,NA,NA,NA,NA,NA
"2005-12",0.929498478573047,0.981628321304588,1.01692984357491,1.04706493172165,1.10607209759643,1.12296589618692,1.11348621687452,1.11965173196748,1.1068554033875,1.08674721494433,1.17488684812099,1.1086314805337,1.07252256171808,1.08471787504249,1.04736269227634,1.03693834793579,0.988870950965419,1.0386166235366,1.093999129474,1.0011227717589,1.0884746388889,0.955865223983296,1.03060694623964,0.956028680363338,0.949361502729386,0.901750038585538,0.819145841655841,0.921351660459154,0.85262216222741,0.987968107071261,0.914315428413537,0.828859056309812,0.916180550633226,0.84994631154426,0.887377575144136,0.867300567180064,0.852571127261392,0.81333968715305,0.86544377064154,0.974119700464022,0.8934842468244,0.975857150147634,0.861721874157783,0.86227620861883,0.905816719900647,0.725767293490578,0.693470917288345,0.863786427786172,NA,NA,NA,NA,NA,NA
"2006-03",0.848191319479043,0.875209011446982,0.857711891798024,0.880017134605552,0.882287099858561,0.886600746843889,0.859315912068323,0.876666869787467,0.848517165048282,0.86245185429223,0.886251074712469,0.907454197032386,0.891329024271555,0.865464453625775,0.938651068091378,0.913978783842803,0.840440693013273,0.901620693870354,0.893315020000963,0.863016531666748,0.917189979856655,0.844979378496494,0.83491236163483,0.939664582492672,0.818563002847154,0.885121821583139,0.844720371634174,0.771483092725296,0.933696077728155,0.911544389072525,0.874293886787826,0.800111476216118,0.920272992963212,0.913707365247777,0.98345962545458,0.869674779304486,1.02494093810542,0.876816217987163,0.903309472884178,1.05293837866222,0.909396496743259,1.07056253297312,1.07311986100315,1.08115259909668,1.03547416392722,1.2141233455547,1.12251510829917,1.14746212955266,1.13438574154105,NA,NA,NA,NA,NA
"2006-06",0.847925772083351,0.879946823833461,0.86871175920933,0.862209199249341,0.903826827248184,0.913213166159598,0.88591018584998,0.903886192326755,0.944681050668066,0.944459573679481,0.956211002692951,0.948837859825993,0.975069496169068,0.977345881947584,1.00438722747404,0.975555201659833,1.0298062756277,1.03661011308818,1.01845215517427,1.00831909568201,1.03110665008335,1.05301528445911,1.08424604992288,1.01826905151758,1.07947763569455,1.12211873091666,1.08963680706571,1.0831423901487,1.03232160659073,1.05126563823878,1.1365638611736,1.18423921123297,1.21445167855234,1.18317396681964,1.15281917786161,1.22942280660172,1.16171113546979,1.13780614246896,1.14395391763337,1.31665915228481,1.34140457007885,1.25323843635153,1.36880581281608,1.29958877317784,1.29736163326388,1.26768588837206,1.43580705983727,1.38800712229495,1.42912327926653,1.4492519616824,NA,NA,NA,NA
"2006-09",0.769948262541437,0.784200445073361,0.753142749789838,0.746024869809737,0.699223279695009,0.728743707088443,0.674315215253913,0.695621282028859,0.673321864940818,0.656933582978796,0.650040790945722,0.666711622575713,0.627331324985826,0.625483752418627,0.660154626007415,0.637709993059614,0.622333831127024,0.637340770376425,0.62926043433913,0.571686902987122,0.608009382802848,0.569085957215545,0.619775385425995,0.566927777155325,0.541596484511164,0.620384571076169,0.524182950400938,0.580523171946094,0.558371554371164,0.555282834080922,0.589869364452702,0.581947328220631,0.542951002763982,0.521747763050331,0.576963821210407,0.64375403447458,0.590224767121715,0.553690405267251,0.664059387034298,0.644274755177044,0.64289725451674,0.620994022682601,0.629607755923281,0.664635639236024,0.674368831639448,0.664577986514231,0.661069437634038,0.76352819892321,0.794283015370962,0.811419819119429,0.831593704170323,NA,NA,NA
"2006-12",0.818033478993129,0.826714785542379,0.81194083578859,0.850462438423542,0.79839864807274,0.830535796981554,0.805839138034983,0.791543782844101,0.789481858471835,0.80961774765128,0.764996318871653,0.824081597804704,0.752077219896805,0.740685748294395,0.802211534558241,0.723443487380602,0.794160690810032,0.703324436301314,0.747918003083741,0.689662012072199,0.699334256445116,0.703679904864722,0.686973555138922,0.669704437636229,0.604454921728265,0.636235848945807,0.5810156879662,0.59125852268351,0.691159549758826,0.641674658452392,0.539009794880033,0.584734921985147,0.570794292421834,0.561762490020918,0.616647241216548,0.565334717849967,0.560425072752882,0.626405341789401,0.626506431051609,0.532622117332887,0.626957934324683,0.619445700719967,0.549666896299773,0.554965860181409,0.61112456455848,0.552355251894228,0.468726248325764,0.44654241433743,0.559090524188826,0.489017522504686,0.75033365560042,0.492010015384343,NA,NA
"2007-03",0.77433153069774,0.810481319366035,0.79570114868763,0.759664363160146,0.74537413503074,0.740272283062731,0.680342807007051,0.696394070735003,0.672765501770564,0.666039135753946,0.610407693398048,0.643752943910252,0.543515775908088,0.557957915670951,0.592612426605123,0.565996442359226,0.509851280511906,0.464937022904789,0.45736341582539,0.390827448822887,0.405262766265364,0.378282433838716,0.318495658427524,0.324451752414419,0.281999475286609,0.31868334998504,0.242686084323104,0.271646186955308,0.203290747819969,0.149945960015632,0.21643319634606,0.150575002593539,0.116464874549535,0.0804002983883142,0.15890590300636,0.0444401688219528,-0.0391400579533245,-0.0207920241140919,-0.0679712249490553,0.0141175981022559,-0.0111592082140504,-0.115212004489446,-0.144525489588754,0.00339971092536674,-0.0992249397401669,-0.148714556768606,0.0750709952103292,-0.222031349360676,-0.123028405788699,0.0380645330152081,-0.146265714245967,-0.142458429367792,0.0152283640449252,NA
"2007-06",0.776498774251807,0.784138222131873,0.779043750590553,0.758486234603242,0.731166666095068,0.756219293408416,0.721072098549084,0.713474733341029,0.731856301705008,0.724070315820819,0.687702637929741,0.696541907497976,0.671543318371926,0.654571569029251,0.654172529296616,0.656598454752617,0.713356275474891,0.687273799385244,0.665485053650603,0.621443208035769,0.642918690463105,0.63007174962186,0.606074275616538,0.615993095134762,0.569746606900092,0.616158406715826,0.591131637523515,0.526009689648759,0.563214694007396,0.475328883067353,0.568304925056821,0.489629183714052,0.527818755456707,0.538198283063416,0.533040995216183,0.492800265924049,0.529047057634477,0.500963155366309,0.475823305955965,0.454317302454218,0.526299858136836,0.482333347542219,0.47966290015344,0.463571769284018,0.409759870570321,0.490668292844747,0.462269830972074,0.489578913503373,0.468480195254762,0.459370854111221,0.469545485164163,0.445872818691632,0.500500611241362,0.524933816583419
"2007-09",0.742492342878935,0.731034645669034,0.709119674333165,0.681464955285664,0.661851870187558,0.641312189114732,0.581493122296478,0.570516995273787,0.539265090812611,0.559816743966895,0.477705303698055,0.485908107666299,0.405526070881377,0.424816224221408,0.441797955708992,0.375954032776143,0.369971890404168,0.368969729820878,0.288710143978314,0.345933046975065,0.21601565973629,0.209289497503276,0.263644055776879,0.239313480732154,0.150733932209455,0.253500790246767,0.222071137315557,0.239886487978191,0.208076317413782,0.136649527059578,0.225698977399128,0.160717138163481,0.215790200555365,0.176726020470314,0.170510570066974,0.153167344255409,-0.0449820568468365,0.0920356191592924,0.0405416488082599,0.17819936413096,0.155082531728283,0.0318292344017387,0.0948277277458835,0.174058865150854,0.0809999000691973,0.205122827377494,0.0412139618628622,0.235569923478413,0.0350418014668221,0.269521393097255,0.0176495215746635,0.00915451119208697,0.0645462835863538,0.128339673289375
"2007-12",0.763681113365065,0.749063464698574,0.76140105273032,0.777515597881412,0.777533514920706,0.741423393435206,0.776048016277099,0.741910968361117,0.776537620059469,0.818729373587806,0.782739655515722,0.749983065246857,0.854239568332641,0.785327038134633,0.867832452324328,0.833079931599945,0.939976063225151,0.86169153367601,0.917212634396042,0.867917015876568,0.90239148303137,0.941232454964793,0.958361880698268,0.97856680472046,0.866674309882857,0.992981159252491,0.992201573607033,1.04375816125184,1.0887284196582,0.967811253263196,1.06125666908699,1.07006460031381,1.11437642847094,1.06003659412837,1.17819767041978,1.25847869145887,1.23825931283325,1.256115078908,1.19430526662047,1.37108393435992,1.38094865469396,1.29781113229402,1.35770436122352,1.33833357118733,1.45507527241528,1.54857739733505,1.30872085346988,1.59768640254436,1.57869044388519,1.58081535067009,1.78664755712058,1.65879293272483,1.73943813011682,1.77420850334907
