"vintage","target_date","target_year","target_q","k_main","MEAN_bivariate","MEAN_fore_rs","RS_fore","LASSO_fore","RIDGE_fore","RF_fore","covid_excl","actual"
"2002-09",2002-09-01,2002,3,6,0.854162821337461,0.854162821337461,0.76871853756439,1.11712182635249,0.804979569050411,0.632481087572808,FALSE,0.406511430035095
"2002-12",2002-12-01,2002,4,6,0.753289353635493,0.753289353635493,0.591890740413272,0.372556699906715,0.684279527504465,0.511417117738964,FALSE,0.123605052551956
"2003-03",2003-03-01,2003,1,6,0.873283454425551,0.873283454425551,0.849126982145085,1.2872654576734,0.804991557603816,0.777422296661257,FALSE,0.526641985805054
"2003-06",2003-06-01,2003,2,6,0.687818249944855,0.687818249944855,0.487390868181227,-0.592671124742354,0.563316485037146,0.346851728912236,FALSE,0.885621672871495
"2003-09",2003-09-01,2003,3,7,0.893449429207515,0.893449429207515,0.937870502899804,0.965668875474876,0.923975507434129,0.741262563651703,FALSE,1.66319995697106
"2004-03",2004-03-01,2004,1,7,0.896511296165442,0.896511296165442,0.984353485123237,0.99723530513007,0.923101259466928,1.03967148230442,FALSE,0.566651453956935
"2004-06",2004-06-01,2004,2,7,0.96281171477158,0.962811714771579,1.17683698984144,1.01932037708819,1.02957667778748,1.07584086214774,FALSE,0.774952323742117
"2004-09",2004-09-01,2004,3,7,0.891521717299364,0.891521717299364,0.933754091710123,0.865051397460015,0.89241341584758,0.943729703246879,FALSE,0.948593888793092
"2004-12",2004-12-01,2004,4,7,0.897380038095576,0.897380038095576,0.958738314129868,0.931651086005564,0.957118903001089,1.04387028301051,FALSE,1.02020812862096
"2005-03",2005-03-01,2005,1,7,0.895916468467906,0.895916468467906,0.905980720350564,0.881649833421968,0.933814321709491,0.920529414449645,FALSE,1.10936335419582
"2005-06",2005-06-01,2005,2,7,0.823506474162733,0.823506474162733,0.846427752804595,0.962907368085854,0.838619251884508,0.835395620127597,FALSE,0.492624454810731
"2005-09",2005-09-01,2005,3,7,0.873772975672556,0.873772975672556,0.912694796572842,0.748685782518119,0.923357541135561,0.824693737894206,FALSE,0.783814034507291
"2005-12",2005-12-01,2005,4,7,0.881505672959411,0.881505672959411,1.12827464584799,1.73603013887287,1.03021241567847,1.10853211499916,FALSE,0.555516539651735
"2006-03",2006-03-01,2006,1,7,0.870240984726442,0.870240984726442,0.864358742204597,1.36497864033658,0.854459646540514,0.885647694060525,FALSE,1.34538376848747
"2006-06",2006-06-01,2006,2,7,0.855608761768842,0.855608761768842,0.90438669022437,1.23324272932403,0.883716085278182,0.892110608720693,FALSE,0.25875276349554
"2006-09",2006-09-01,2006,3,7,0.787442700932133,0.787442700932133,0.715918342943854,0.775840736847735,0.716859979540834,0.733940780555709,FALSE,0.149955925631562
"2006-12",2006-12-01,2006,4,7,0.84135455438528,0.84135455438528,0.80677335024979,0.366422964539829,0.767386178392412,0.670608975417769,FALSE,0.859449800611878
"2007-03",2007-03-01,2007,1,8,0.79388047865501,0.79388047865501,0.69115334647815,0.794248355770942,0.6843833246361,0.746338218769253,FALSE,0.300835666705646
