T_len,rho,R2_target,phi_f,phi_eta,phi_u,z,rmsfe_base,rmsfe_rs,rel_rmsfe,rmse_pooled_base,rmse_pooled_rs,bias_base,var_base,bias_rs,var_rs,Q_ols,Q_rs_bag,Q_rs_subavg,L_ols,L_rs_bag,L_rs_subavg
500,0.000000,0.300000,0.7,0.3,0.0,8,1.009314,1.001990,0.992743,1.023402,1.015941,0.000121,1.047231,0.000119,1.032018,0.901106,1.012593,1.046811,1.001586,1.027316,1.062032
500,0.000000,0.300000,0.7,0.3,0.0,9,1.009314,1.001208,0.991968,1.023402,1.015148,0.000121,1.047231,0.000117,1.030410,0.901106,1.006115,1.041420,1.001586,1.022868,1.058761
500,0.000000,0.300000,0.7,0.3,0.0,10,1.009314,1.000675,0.991440,1.023402,1.014594,0.000121,1.047231,0.000121,1.029280,0.901106,0.999943,1.036360,1.001586,1.018714,1.055815
500,0.000000,0.300000,0.7,0.3,0.0,11,1.009314,1.000134,0.990905,1.023402,1.014052,0.000121,1.047231,0.000117,1.028185,0.901106,0.994002,1.031510,1.001586,1.014778,1.053070
500,0.000000,0.300000,0.7,0.3,0.0,12,1.009314,0.999803,0.990576,1.023402,1.013704,0.000121,1.047231,0.000119,1.027477,0.901106,0.988351,1.026878,1.001586,1.011122,1.050537
500,0.000000,0.300000,0.7,0.3,0.0,13,1.009314,0.999434,0.990211,1.023402,1.013343,0.000121,1.047231,0.000119,1.026744,0.901106,0.982935,1.022389,1.001586,1.007692,1.048140
500,0.000000,0.300000,0.7,0.3,0.0,14,1.009314,0.999376,0.990154,1.023402,1.013275,0.000121,1.047231,0.000119,1.026606,0.901106,0.977775,1.018045,1.001586,1.004511,1.045882
500,0.000000,0.300000,0.7,0.3,0.0,15,1.009314,0.999210,0.989989,1.023402,1.013079,0.000121,1.047231,0.000119,1.026210,0.901106,0.972843,1.013814,1.001586,1.001550,1.043730
500,0.000000,0.300000,0.7,0.3,0.0,16,1.009314,0.999257,0.990035,1.023402,1.013145,0.000121,1.047231,0.000118,1.026345,0.901106,0.968124,1.009678,1.001586,0.998798,1.041669
500,0.000000,0.300000,0.7,0.3,0.0,17,1.009314,0.999237,0.990015,1.023402,1.013137,0.000121,1.047231,0.000119,1.026327,0.901106,0.963638,1.005645,1.001586,0.996274,1.039703
