"k","Q_subset_mc","Q_bag_inf_mc","Q_bag_G_mc","R_bag_inf_mc","R_weight_exact_mc","R_weight_identity_gap","R_bag_inf_smallhet","R_bag_excess_smallhet","Q_bag_inf_smallhet_level","R_smallhet_abs_error","R_smallhet_rel_error","R_ratio_mc_to_smallhet","w_l2_mc","w_l2_smallhet","w_max_abs_mc","w_max_abs_smallhet","w_rmse_approx_error","w_max_approx_error","w_corr_with_approx"
12,1.25086301648499,1.06006861504369,1.06030710804549,6.86150436886024e-05,6.86150436886968e-05,-9.44069041691753e-17,1.16584872244965e-05,1.16584872244965e-05,1.06001165848722,5.69565564641058e-05,0.830088467517319,5.88541569479358,0.00496130480761277,0.00197133518412408,0.00206139659852989,0.000765568767017356,0.000616944125743177,0.00149198179326787,0.484116712702017
13,1.23099948802214,1.06008246311247,1.06029610939361,8.24631124682895e-05,8.24631124684619e-05,-1.72401697952351e-16,9.41790365965821e-06,9.41790365965821e-06,1.06000941790366,7.30452088086313e-05,0.885792527376652,8.75599448118396,0.00538224608597226,0.00177180733147994,0.0027893554175208,0.000688082049707907,0.000769170620267897,0.00304682358985209,0.132478067015328
14,1.21491298189702,1.06008684462877,1.06028037730036,8.68446287747293e-05,8.68446287747079e-05,2.13723353251205e-17,7.68752303615397e-06,7.68752303615397e-06,1.06000768752304,7.91571057385753e-05,0.911479579743555,11.29682842787,0.00570693605298079,0.00160078345778497,0.00261555588854976,0.000621664863442665,0.000746616983144213,0.00221484286068414,0.397336003485275
15,1.20053033986526,1.06007711067487,1.06025267721136,7.71106748680417e-05,7.71106748680782e-05,-3.64698505769812e-17,6.32981577839701e-06,6.32981577839701e-06,1.06000632981578,7.07808590896447e-05,0.917912587469515,12.1821357157363,0.00518457629486802,0.00145256276724932,0.00222522040421224,0.000564103302012789,0.000686126899533487,0.00183563131269426,0.361925371310993
16,1.18788070571039,1.06003986603396,1.06019966708356,3.98660339615553e-05,3.98660339616244e-05,-6.91111122323729e-17,5.24995243610033e-06,5.24995243610033e-06,1.06000524995244,3.4616081525455e-05,0.868310139875888,7.59359907480759,0.00382491654041278,0.00132286966303063,0.00142467289862306,0.000513736935761647,0.00050184872314077,0.00119747495602008,0.374255326076689
17,1.17710443887026,1.06005407440743,1.060200387363,5.40744074253308e-05,5.40744074254283e-05,-9.75510904693833e-17,4.3809423376929e-06,4.3809423376929e-06,1.06000438094234,4.96934650876379e-05,0.918983072653318,12.3430995564775,0.00430184754541824,0.00120843457107296,0.00159822053094343,0.000469296024363581,0.000532771327337284,0.00139488018007267,0.555346794114863
18,1.16702498755982,1.06005285612461,1.0601865712889,5.28561246107007e-05,5.2856124610708e-05,-7.31158840069912e-18,3.67445088269759e-06,3.67445088269759e-06,1.06000367445088,4.91816737280031e-05,0.930482022475903,14.3847683090804,0.00420053200272395,0.00110671448933282,0.00136051876753032,0.000429792992009744,0.000569343212984407,0.00163755493494359,0.286278963977688
19,1.15827448671941,1.06003385169075,1.06015665248453,3.38516907472108e-05,3.38516907472064e-05,4.47233396150271e-18,3.09495034582824e-06,3.09495034582824e-06,1.06000309495035,3.07567404013826e-05,0.908573241763907,10.9377169145348,0.00335221057704858,0.00101570178461795,0.0012510009624637,0.00039444817358789,0.000419249937363144,0.000977648952296494,0.511100956957224
20,1.15020750142401,1.06005162024978,1.06016431510125,5.16202497846674e-05,5.16202497846845e-05,-1.7130394325271e-17,2.61589325535795e-06,2.61589325535795e-06,1.06000261589326,4.90043565293094e-05,0.949324281337846,19.7333165942216,0.00419112335061748,0.000933790350374563,0.00160467010296153,0.000362637837008221,0.000582334582626078,0.00144771418311865,0.189312843472749
21,1.14300821677153,1.06003775606973,1.06014146914561,3.77560697295554e-05,3.77560697295155e-05,3.98715348931544e-17,2.21714913354098e-06,2.21714913354098e-06,1.06000221714913,3.55389205960144e-05,0.94127701454568,17.0291069546845,0.00355507996326069,0.000859680005106741,0.00127737590773562,0.000333857056293283,0.000497518037368583,0.00107662226897618,0.16383469185712
