"k","i","tau","sigma2","delta","w_opt","w_bag_mc","w_bag_smallhet_approx","diff_mc","diff_smallhet_approx","diff_approx_error"
3,18,0.342245140079991,2.92188225015051,0.0267354202399737,0.0205347084047995,0.0199678349907622,0.0203637472141493,-0.000566873414037283,-0.000170961190650172,-0.000395912223387111
3,19,0.349091189815634,2.86458102975366,0.047273569446902,0.020945471388938,0.0194457632139989,0.0206431778156041,-0.0014997081749391,-0.000302293573333931,-0.00119741460160517
3,20,0.271788491981129,3.6793316476013,-0.184634524056612,0.0163073095188678,0.016717953600776,0.0174879656590937,0.000410644081908218,0.00118065614022595,-0.000770012058317737
3,21,0.326973507403031,3.05835175437437,-0.019079477790908,0.0196184104441818,0.016208198815124,0.0197404152681509,-0.0034102116290578,0.000122004823969072,-0.00353221645302687
3,22,0.225892668268005,4.42688117178541,-0.322321995195984,0.0135535600960803,0.0150769140060522,0.0156146667320274,0.00152335390997183,0.00206110663594711,-0.00053775272597528
3,23,0.275712888188062,3.6269613893345,-0.172861335435814,0.0165427732912837,0.0181190172075859,0.0176481450961114,0.00157624391630214,0.00110537180482766,0.000470872111474484
3,24,0.240857990306821,4.15182406332517,-0.277426029079537,0.0144514794184093,0.0173822320570062,0.0162254962029995,0.00293075263859693,0.00177401678459023,0.0011567358540067
3,25,0.362905488040183,2.75553837832641,0.08871646412055,0.021774329282411,0.0221905423307362,0.0212070267227286,0.00041621304832519,-0.000567302559682429,0.000983515608007618
3,26,0.234115961894478,4.27138752910289,-0.297652114316566,0.0140469577136687,0.0160834421429392,0.0159503113698426,0.00203648442927052,0.00190335365617396,0.000133130773096556
3,27,0.271179788002543,3.68759046301276,-0.18646063599237,0.0162707872801526,0.018683260580056,0.0174631205987433,0.0024124732999034,0.00119233331859067,0.00122013998131273
3,28,0.276870175436392,3.61180108483639,-0.169389473690825,0.0166122105261835,0.0155094577003915,0.0176953813103289,-0.001102752825792,0.00108317078414541,-0.00218592360993741
3,29,0.321069483578466,3.11459061401459,-0.0367915492646022,0.019264169014708,0.020421254745068,0.019499434703883,0.00115708573036004,0.000235265689175007,0.000921820041185028
3,30,0.344745245909585,2.90069264729546,0.0342357377287557,0.0206847147545751,0.0218896062620411,0.0204657923500511,0.00120489150746601,-0.000218922404524016,0.00142381391199003
3,31,0.277802563767749,3.59967880223031,-0.166592308696753,0.0166681538260649,0.0175502151366483,0.0177334379769149,0.000882061310583399,0.00106528415084999,-0.000183222840266587
3,32,0.300856325962067,3.32384568216153,-0.097431022113798,0.018051379557724,0.0195877054687355,0.0186744078623973,0.00153632591101141,0.000623028304673266,0.000913297606338144
3,33,0.350444144459704,2.8535217831696,0.051332433379111,0.0210266486675822,0.0218918743799369,0.0206984004541376,0.000865225712354704,-0.000328248213444655,0.00119347392579936
3,34,0.327552964551919,3.05294138115332,-0.0173411063442428,0.0196531778731151,0.0191277073638134,0.0197640665803504,-0.000525470509301768,0.000110888707235294,-0.000636359216537062
3,35,0.384070581374028,2.60368809405412,0.152211744122085,0.0230442348824417,0.0232171882053947,0.0220709080832937,0.000172953322952994,-0.000973326799148029,0.00114628012210102
3,36,0.524382644330267,1.90700438088904,0.573147932990802,0.031462958659816,0.0248662283942035,0.0277979310610993,-0.00659673026561258,-0.00366502759871669,-0.00293170266689588
3,37,0.29052282099006,3.44207039086342,-0.12843153702982,0.0174313692594036,0.0180583128392183,0.0182526321492542,0.000626943579814718,0.000821262889850548,-0.00019431931003583
3,38,0.391462420435413,2.55452362167415,0.174387261306239,0.0234877452261248,0.0200819849463072,0.0223726158000849,-0.00340576027981762,-0.0011151294260399,-0.00229063085377773
3,39,0.246252897516374,4.06086592314515,-0.261241307450877,0.0147751738509825,0.0172651993719429,0.016445696497267,0.00249002552096041,0.00167052264628452,0.00081950287467589
3,40,0.427812896227782,2.33747044284417,0.283438688683347,0.0256687737736669,0.023824868659105,0.0238563086895693,-0.0018439051145619,-0.00181246508409759,-3.14400304643107e-05
3,41,0.406369888300077,2.46081225206718,0.219109664900231,0.0243821932980046,0.0229902125017357,0.0229810838761936,-0.0013919807962689,-0.001401109421811,9.12862554210267e-06
3,42,0.331697406776384,3.01479595429625,-0.00490777967084888,0.019901844406583,0.0202173842404583,0.0199332274874714,0.000315539833875281,3.13830808884214e-05,0.00028415675298686
3,43,0.319580499441261,3.12910206269891,-0.0412585016762157,0.0191748299664757,0.0181746012380754,0.0194386598411399,-0.00100022872840031,0.000263829874664236,-0.00126405860306455
3,44,0.371318885861329,2.69310298526926,0.113956657583987,0.0222791331516797,0.0230863681638017,0.0215504307154284,0.000807235012121935,-0.000728702436251344,0.00153593744837328
