"k","Q_subset_mc","Q_bag_inf_mc","Q_bag_G_mc","R_bag_inf_mc","R_weight_exact_mc","R_weight_identity_gap","R_bag_inf_smallhet","R_bag_excess_smallhet.x","Q_bag_inf_smallhet_level","R_smallhet_abs_error","R_smallhet_rel_error","R_ratio_mc_to_smallhet","w_l2_mc","w_l2_smallhet","w_max_abs_mc","w_max_abs_smallhet","w_rmse_approx_error","w_max_approx_error","w_corr_with_approx","Q_bag_inf_smallhet","Q_bag_G_smallhet","R_bag_excess_smallhet.y","R_bag_G_excess_smallhet","Q_subset_leading","Q_subset_delta","L_bag_inf_smallhet","L_bag_G_smallhet","L_subset_leading","L_subset_delta","L_equal","L_oracle_optimal","L_full_estimated_theory"
11,1.27365710991636,1.06008629977078,1.06035326328347,8.62997707842261e-05,8.62997707842184e-05,7.69783542464708e-18,1.08591973013579e-05,1.08591973013579e-05,1.0600108591973,7.54405734828683e-05,0.874168874347199,7.94715929633537,0.0051544877890873,0.00190255944290473,0.00231819995253972,0.000829416303771476,0.000652626115479582,0.00194015130724903,0.453384770874932,1.0600108591973,1.06027675471421,1.08591973013716e-05,0.000276754714213956,1.27272727272727,1.27340945307056,2.14996766527579,2.15024517195064,2.37197300516078,2.37268497503871,2.06212871843815,2.06,2.59126315789474
12,1.25071196415634,1.06006805647928,1.06030636136387,6.80564792783223e-05,6.80564792784319e-05,-1.09626392165441e-16,8.66280585361627e-06,8.66280585361627e-06,1.06000866280585,5.9393673424706e-05,0.872711519234061,7.85617044042517,0.0047664930560122,0.0016992945451585,0.00174012196548487,0.000740803450804438,0.000613089650474027,0.00150905297503302,0.420579312248234,1.06000866280585,1.06024615197735,8.66280585354318e-06,0.000246151977346232,1.25,1.25055852300898,2.15939504566052,2.15964399264292,2.35855263157895,2.35913810087345,2.06212871843815,2.06,2.59126315789474
13,1.23143671049343,1.06008772450584,1.06030191073833,8.7724505841269e-05,8.77245058413724e-05,-1.03351572092181e-16,6.99794659295554e-06,6.99794659295554e-06,1.06000699794659,8.07265592483135e-05,0.920228144623376,12.5357495482427,0.00552258398998965,0.00152730117014246,0.00160236824317555,0.000665823344447713,0.000714826946544391,0.00148952742208008,0.431713555836125,1.06000699794659,1.06022045073762,6.99794659286823e-06,0.000220450737621114,1.23076923076923,1.2312326083139,2.16890604629619,2.1691307829352,2.34869535750593,2.34918323077983,2.06212871843815,2.06,2.59126315789474
14,1.21453838886881,1.06005968992022,1.06025278829391,5.96899202232049e-05,5.96899202233275e-05,-1.22684252080313e-16,5.7121921802578e-06,5.7121921802578e-06,1.06000571219218,5.3977728042947e-05,0.904302231282977,10.4495644298352,0.00455904934632152,0.00137987827727156,0.00173321201070292,0.000601554681856235,0.000619622561222242,0.00136397937425712,0.277573214957778,1.06000571219218,1.0601985621948,5.71219218015173e-06,0.000198562194797081,1.21428571428571,1.21467446069798,2.17850161599085,2.17870555913521,2.34165613147914,2.3420672394107,2.06212871843815,2.06,2.59126315789474
15,1.19996537530303,1.06003850484846,1.06021341343653,3.85048484581318e-05,3.8504848458168e-05,-3.61920237702817e-17,4.70335165459498e-06,4.70335165459498e-06,1.06000470335165,3.38014968035369e-05,0.877850404742947,8.1866828776271,0.00377944370707682,0.00125211177011679,0.00148173518436466,0.000545855174276954,0.000578028903833764,0.00181677961373214,-0.090219829542746,1.06000470335165,1.06017969747247,4.70335165458913e-06,0.000179697472465046,1.2,1.20032923461582,2.18818277378242,2.18836865642631,2.33688888888889,2.33723860921414,2.06212871843815,2.06,2.59126315789474
16,1.18792310968697,1.06006148093412,1.06022130797006,6.14809341168421e-05,6.14809341169156e-05,-7.35631174031415e-17,3.90096226199029e-06,3.90096226199029e-06,1.06000390096226,5.75799718548518e-05,0.936550048921237,15.7604534439854,0.00475386251938824,0.00114031607635636,0.00203402395368267,0.000497118105145083,0.00062194874131387,0.00159638586404002,0.420457197333317,1.06000390096226,1.06016327108606,3.90096226188241e-06,0.000163271086059069,1.1875,1.18778109875123,2.19795059075884,2.19812063298914,2.333984375,2.33428429732832,2.06212871843815,2.06,2.59126315789474
17,1.17675612342458,1.06005174896254,1.06019762943062,5.17489625415646e-05,5.17489625416842e-05,-1.19580723361573e-16,3.25524677400505e-06,3.25524677400505e-06,1.06000325524677,4.84937157675595e-05,0.937095419615602,15.8970935643985,0.00426735915524672,0.00104167281715598,0.00182478571128859,0.000454114808852256,0.000569939018090326,0.00141888123823462,0.343507342097618,1.06000325524677,1.06014883941301,3.25524677391442e-06,0.000148839413009583,1.17647058823529,1.1767122656473,2.20780617939004,2.20796220905699,2.33262991295173,2.33288893044711,2.06212871843815,2.06,2.59126315789474
18,1.16673308640479,1.06003833194602,1.0601717003891,3.83319460222076e-05,3.8331946022228e-05,-2.03897771063055e-17,2.73029030289414e-06,2.73029030289414e-06,1.0600027302903,3.56016557193134e-05,0.928772457800281,14.0395129344214,0.00367665759805307,0.000953989920088981,0.00142698729336685,0.000415889656591965,0.00052869558401818,0.00145182955203624,0.0644273084723254,1.0600027302903,1.06013606021077,2.73029030295469e-06,0.000136060210773392,1.16666666666667,1.16687570451798,2.21775068711434,2.21789422698367,2.33258258258258,2.33280762783693,2.06212871843815,2.06,2.59126315789474
19,1.15798900463912,1.06004239442339,1.06016482768616,4.23944233900464e-05,4.23944233901096e-05,-6.32157629194829e-17,2.29969407318627e-06,2.29969407318627e-06,1.06000229969407,4.00947293168601e-05,0.945754797699968,18.4348100403233,0.00376030565632391,0.000875536801660611,0.00141493686742403,0.0003816882045696,0.000529331204059577,0.00139043551345619,0.13621039360835,1.06000229969407,1.06012466524051,2.29969407317121e-06,0.000124665240508248,1.15789473684211,1.15807648685757,2.22778529242934,2.22791762440037,2.33365086925458,2.33384742243873,2.06212871843815,2.06,2.59126315789474
20,1.1501506819969,1.0600409386896,1.06015357586874,4.0938689601866e-05,4.09386896018759e-05,-9.93400240539843e-18,1.94373206133772e-06,1.94373206133772e-06,1.06000194373206,3.89949575405283e-05,0.952520901859811,21.0618996394446,0.0037640914725941,0.000804928995075078,0.00181356523288106,0.00035090689774947,0.000519050371098895,0.00175313484438665,0.222064031324253,1.06000194373206,1.0601144413024,1.94373206130471e-06,0.000114441302396129,1.15,1.15015873811834,2.23791120250892,2.23803341577851,2.33568181818182,2.33585426550129,2.06212871843815,2.06,2.59126315789474
