"k","i","tau","sigma2","delta","w_opt","w_bag_mc","w_bag_smallhet_approx","diff_mc","diff_smallhet_approx","diff_approx_error"
3,43,0.134367991457633,7.44224862745906,-0.596896025627101,0.00806207948745798,0.0163719359114201,0.0118789656377265,0.00830985642396214,0.00381688615026854,0.00449297027369361
3,44,0.0882594389265317,11.330232915172,-0.735221683220405,0.0052955663355919,0.0117365695554226,0.0099969839017632,0.00644100321983066,0.0047014175661713,0.00173958565365937
3,45,0.124880864915958,8.00763191921337,-0.625357405252126,0.00749285189495749,0.0133373991520199,0.0114917359829643,0.00584454725706238,0.00399888408800679,0.00184566316905559
3,46,0.79652653962665,1.25545094890212,1.38957961887995,0.047791592377599,0.0374788688775956,0.0389058451548292,-0.0103127235000034,-0.00888574722276975,-0.00142697627723361
3,47,0.440275359315394,2.27130585176275,0.320826077946181,0.0264165215589236,0.0309380500622428,0.024364980652329,0.00452152850331921,-0.00205154090659463,0.00657306940991383
3,48,0.0374971899583593,26.6686650682492,-0.887508430124922,0.00224983139750156,0.00552640407869798,0.00792505537245004,0.00327657268119642,0.00567522397494848,-0.00239865129375206
3,49,0.194188908926083,5.1496246903609,-0.417433273221751,0.011651334535565,0.0163016374152523,0.0143206357384796,0.00465030287968729,0.0026693012029146,0.00198100167677269
3,50,0.400246878703735,2.49845795984384,0.200740636111205,0.0240148127222241,0.0222751193382857,0.0227311651171592,-0.0017396933839384,-0.00128364760506485,-0.000456045778873557
5,1,0.109161917731504,9.16070384966683,-0.672514246805489,0.00654971506389022,0.00914889452661435,0.00902017556235936,0.00259917946272413,0.00247046049846914,0.000128718964254987
5,2,0.0589098529756786,16.9750890468672,-0.823270441072964,0.00353459117854071,0.00587474887636394,0.00655884994166589,0.00234015769782323,0.00302425876312518,-0.00068410106530195
5,3,0.0541802523005605,18.456909252703,-0.837459243098319,0.00325081513803363,0.00498097366743175,0.00632719603104786,0.00173015852939812,0.00307638089301423,-0.00134622236361611
5,4,0.495351585896203,2.01876814059407,0.486054757688609,0.0297210951537722,0.0321943913637635,0.0279355878806303,0.00247329620999134,-0.00178550727314183,0.00425880348313316
5,5,0.204677957860141,4.88572394631431,-0.385966126419578,0.0122806774716084,0.0170654212325391,0.0136985122217212,0.0047847437609307,0.00141783475011274,0.00336690901081797
5,6,0.348418300559033,2.87011330459827,0.0452549016770998,0.020905098033542,0.0263256767733362,0.0207388555375853,0.00542057873979419,-0.000166242495956693,0.00558682123575088
5,7,0.0534139018554059,18.7217178536601,-0.839758294433782,0.00320483411132435,0.00527155876011348,0.00628966049904029,0.00206672464878913,0.00308482638771593,-0.00101810173892681
5,8,0.0708973039771502,14.1049087046003,-0.787308088068549,0.00425383823862901,0.00738209280067834,0.00714599039888083,0.00312825456204932,0.00289215216025181,0.00023610240179751
5,9,0.180361809528147,5.54441099596498,-0.458914571415558,0.0108217085716888,0.013329448117346,0.0125075172013786,0.00250773954565722,0.00168580862968981,0.000821930915967415
5,10,0.208325823130734,4.80017304130585,-0.375022530607799,0.012499549387844,0.0164932883256643,0.0138771831737502,0.00399373893782024,0.0013776337859062,0.00261610515191404
5,11,0.239788271418713,4.17034575579313,-0.280635185743862,0.0143872962851227,0.018534084621139,0.0154182010490798,0.00414678833601628,0.00103090476395704,0.00311588357205923
5,12,0.0795730230314019,12.5670731348911,-0.761280930905794,0.00477438138188411,0.00753677868884128,0.00757092357704825,0.00276239730695717,0.00279654219516414,-3.41448882069722e-05
5,13,0.163362785323468,6.12134518899112,-0.509911644029596,0.00980176711940807,0.0124617157325412,0.0116749119342107,0.00265994861313315,0.0018731448148026,0.000786803798330554
5,14,0.337062031873261,2.96681294669229,0.0111860956197833,0.0202237219123957,0.0235541689683347,0.0201826301325679,0.00333044705593901,-4.10917798277755e-05,0.00337153883576679
5,15,0.507744948425387,1.96949276029469,0.523234845276161,0.0304646969055232,0.0332459177808333,0.0285426097187945,0.0027812208753101,-0.00192208718672876,0.00470330806203886
5,16,0.052759681202007,18.9538673702592,-0.841720956393979,0.00316558087212042,0.00529670368988131,0.00625761703846565,0.00213112281776089,0.00309203616634523,-0.000960913348584341
5,17,0.0707255866945078,14.13915453709,-0.787823239916476,0.00424353520167047,0.00740469049785334,0.00713757975646569,0.00316115529618287,0.00289404455479522,0.000267110741387648
5,18,2.35889735001491,0.423926882614744,6.07669205004473,0.141533841000895,0.0731702282607577,0.11921129877624,-0.0683636127401368,-0.0223225422246541,-0.0460410705154827
5,19,1.21251155404424,0.824734409057442,2.63753466213273,0.0727506932426546,0.0543365793779168,0.063061790402167,-0.0184141138647378,-0.00968890284048758,-0.0087252110242502
5,20,0.21141386455796,4.73005875036092,-0.365758406326119,0.0126848318734776,0.0185978703698786,0.0140284341824307,0.00591303849640103,0.00134360230895309,0.00456943618744794
5,21,0.33897408630548,2.95007801598973,0.0169222589164391,0.0203384451783288,0.0237618499522561,0.0202762817782276,0.00342340477392737,-6.21634001012047e-05,0.00348556817402857
5,22,0.428281905850328,2.33491068929135,0.284845717550983,0.0256969143510196,0.0308026980849438,0.024650542327363,0.00510578373392411,-0.00104637202365667,0.00615215575758078
5,23,0.0689779899705431,14.497378082879,-0.793066030088371,0.00413867939823259,0.00616078414525974,0.00705198318223068,0.00202210474702715,0.0029133037839981,-0.000891199036970941
5,24,0.0743103641154145,13.4570730732373,-0.777068907653756,0.00445862184692487,0.00665444104467558,0.00731316069136724,0.00219581919775072,0.00285453884444237,-0.000658719646691654
5,25,0.0677599135354994,14.7579881352136,-0.796720259393502,0.00406559481212996,0.00613044280468008,0.0069923222956163,0.00206484799255012,0.00292672748348633,-0.000861879490936215
5,26,0.0180752380473787,55.3243059581737,-0.945774285857864,0.00108451428284272,0.00174111671635354,0.00455878716966753,0.00065660243351082,0.00347427288682481,-0.00281767045331399
5,27,1.09889746737477,0.910003007276893,2.2966924021243,0.0659338480424861,0.0528444129467071,0.0574970188101927,-0.0130894350957789,-0.00843682923229336,-0.00465260586348556
5,28,0.432293160779476,2.31324501686976,0.296879482338428,0.0259375896467685,0.0322257468188253,0.0248470119565457,0.0062881571720568,-0.0010905776902228,0.00737873486227959
5,29,0.181166509682708,5.51978399181715,-0.456500470951875,0.0108699905809625,0.0149357017025863,0.0125469310865,0.00406571112162379,0.0016769405055375,0.00238877061608629
5,30,0.350131747510631,2.85606777194529,0.0503952425318945,0.0210079048506379,0.0259150620941229,0.0208227794699085,0.004907157243485,-0.000185125380729408,0.00509228262421441
5,31,0.0427341194824481,23.4005055471126,-0.871797641552656,0.00256404716894688,0.00413949996685526,0.00576656911750766,0.00157545279790837,0.00320252194856078,-0.0016270691506524
5,32,1.73505580761439,0.576350337327159,4.20516742284317,0.104103348456863,0.069630557479642,0.088655794658664,-0.0344727909772214,-0.0154475537981994,-0.019025237179022
