"k","rsm_bagged","rsm_subset_avg","equal_weight","oracle_optimal","full_estimated","Q_bag_inf_smallhet","Q_bag_G_smallhet","R_bag_excess_smallhet","R_bag_G_excess_smallhet","Q_subset_leading","Q_subset_delta","L_bag_inf_smallhet","L_bag_G_smallhet","L_subset_leading","L_subset_delta","L_equal","L_oracle_optimal","L_full_estimated_theory"
24,2.12970155463218,2.32657718432543,2.1508815161528,2.03791467630539,2.55099053890449,1.06004993621649,1.06013112379622,4.99362164947392e-05,0.000131123796224264,1.125,1.12970552809278,2.27940710535066,2.27949693790416,2.35127314814815,2.3564797278434,2.17708105860817,2.06,2.59126315789474
25,2.13888529713497,2.33129766708513,2.1508815161528,2.03791467630539,2.55099053890449,1.06004254920222,1.06011749601572,4.25492022204654e-05,0.000117496015717755,1.12,1.1241698218176,2.2900007872527,2.29008410022212,2.3566511627907,2.36128645309026,2.17708105860817,2.06,2.59126315789474
26,2.14751973277404,2.33578165423933,2.1508815161528,2.03791467630539,2.55099053890449,1.06003625494154,1.06010544039209,3.62549415369173e-05,0.000105440392090816,1.11538461538462,1.11908564066651,2.30069469593938,2.30077196380238,2.36250898634076,2.36664237438923,2.17708105860817,2.06,2.59126315789474
27,2.15746698833901,2.34132360042861,2.1508815161528,2.03791467630539,2.55099053890449,1.06003087589571,1.06009472618973,3.0875895712823e-05,9.47261897319418e-05,1.11111111111111,1.11440006521964,2.31149004384542,2.31156168807205,2.36880542514345,2.37249584782862,2.17708105860817,2.06,2.59126315789474
28,2.16788653437672,2.34750295054666,2.1508815161528,2.03791467630539,2.55099053890449,1.06002626761974,1.06008516335664,2.62676197380074e-05,8.51633566418819e-05,1.10714285714286,1.11006811479551,2.32238810359018,2.32245450019923,2.37550539083558,2.37880320488739,2.17708105860817,2.06,2.59126315789474
29,2.17875514442503,2.35395685596427,2.1508815161528,2.03791467630539,2.55099053890449,1.06002231176954,1.06007659422465,2.23117695352659e-05,7.65942246510054e-05,1.10344827586207,1.10605131564119,2.33339020148303,2.33345168729712,2.38257885275372,2.38552731961253,2.17708105860817,2.06,2.59126315789474
30,2.18936531477909,2.36008034545701,2.1508815161528,2.03791467630539,2.55099053890449,1.06001891075654,1.0600688871181,1.89107565424784e-05,6.88871180969386e-05,1.1,1.10231656767645,2.34449771271816,2.34455459057726,2.39,2.39263647464129,2.17708105860817,2.06,2.59126315789474
31,2.20147013857437,2.36746497100947,2.1508815161528,2.03791467630539,2.55099053890449,1.06001598362331,1.06006193138572,1.5983623310678e-05,6.19313857170845e-05,1.09677419354839,1.09883523971213,2.35571205782761,2.35576460096261,2.39774656582806,2.40010345593876,2.17708105860817,2.06,2.59126315789474
32,2.21338620145969,2.3746332314179,2.1508815161528,2.03791467630539,2.55099053890449,1.06001346283352,1.06005563350497,1.34628335151099e-05,5.56335049732848e-05,1.09375,1.09558244122844,2.36703470008274,2.3670831558062,2.40579927884615,2.40790482429614,2.17708105860817,2.06,2.59126315789474
33,2.22622961616923,2.38237824017108,2.1508815161528,2.03791467630539,2.55099053890449,1.06001129175339,1.06004991400233,1.12917533900969e-05,4.99140023346722e-05,1.09090909090909,1.09253643183883,2.37846714361865,2.3785117364568,2.41414141414141,2.41602032468347,2.17708105860817,2.06,2.59126315789474
34,2.2394070015767,2.39031901780978,2.1508815161528,2.03791467630539,2.55099053890449,1.0600094226607,1.06004470500002,9.42266069925424e-06,4.47050000205174e-05,1.08823529411765,1.08967813903723,2.39001093211605,2.39005186648061,2.42275842375785,2.42443240402863,2.17708105860817,2.06,2.59126315789474
35,2.25358908732666,2.39872055018385,2.1508815161528,2.03791467630539,2.55099053890449,1.06000781515959,1.06003994824778,7.81515959147328e-06,3.99482477848601e-05,1.08571428571429,1.0869907617809,2.40166764791777,2.4017051103962,2.43163763066202,2.43312581495432,2.17708105860817,2.06,2.59126315789474
36,2.26810458285035,2.40729357565125,2.1508815161528,2.03791467630539,2.55099053890449,1.06000643491021,1.06003559353324,6.43491021223852e-06,3.55935332412294e-05,1.08333333333333,1.08445944262049,2.41343891148794,2.41347307281591,2.44076797385621,2.44208728816813,2.17708105860817,2.06,2.59126315789474
37,2.28354301401042,2.41610559877115,2.1508815161528,2.03791467630539,2.55099053890449,1.06000525260422,1.06003159738981,5.25260421868623e-06,3.15973898148414e-05,1.08108108108108,1.08207099495305,2.42532638114487,2.42535739791215,2.45013979496738,2.45130526006787,2.17708105860817,2.06,2.59126315789474
38,2.29916768036519,2.42506404483743,2.1508815161528,2.03791467630539,2.55099053890449,1.06000424313374,1.06002792204035,4.24313373947882e-06,2.79220403485159e-05,1.07894736842105,1.07981367489285,2.43733175301467,2.43735976914675,2.45974465867639,2.46076964504649,2.17708105860817,2.06,2.59126315789474
39,2.31548290810286,2.43418651996442,2.1508815161528,2.03791467630539,2.55099053890449,1.06000338491352,1.06002453452854,3.38491352303016e-06,2.4534528535014e-05,1.07692307692308,1.0776769894805,2.44945676116583,2.44948190921552,2.46957520091848,2.47047164420816,2.17708105860817,2.06,2.59126315789474
40,2.33310436003736,2.44410318849232,2.1508815161528,2.03791467630539,2.55099053890449,1.06000265932514,1.06002140600098,2.65932513876521e-06,2.14060009822159e-05,1.075,1.075651534659,2.46170317789354,2.46172558017117,2.479625,2.48040358391751,2.17708105860817,2.06,2.59126315789474
41,2.35104286014514,2.45380643739962,2.1508815161528,2.03791467630539,2.55099053890449,1.060002050259,1.06001851111081,2.05025900057443e-06,1.85111108110814e-05,1.07317073170732,1.07372885776857,2.47407281413016,2.4740925836959,2.48988846672386,2.49055877892808,2.17708105860817,2.06,2.59126315789474
42,2.36936303723153,2.46345780530456,2.1508815161528,2.03791467630539,2.55099053890449,1.06000154373523,1.06001582751984,1.54373522787132e-06,1.58275198447466e-05,1.07142857142857,1.07190134034213,2.48656751996323,2.48658476150123,2.50036075036075,2.50093141586752,2.17708105860817,2.06,2.59126315789474
43,2.38939751253063,2.47405089524098,2.1508815161528,2.03791467630539,2.55099053890449,1.06000112758838,1.06001333548122,1.12758837689242e-06,1.33354812170694e-05,1.06976744186047,1.07016209779236,2.49918918524681,2.49920399583762,2.51103765789163,2.51151645366688,2.17708105860817,2.06,2.59126315789474
44,2.40963677475466,2.48445619146293,2.1508815161528,2.03791467630539,2.55099053890449,1.06000079120417,1.0600110174879,7.91204173511417e-07,1.10174878957814e-05,1.06818181818182,1.06850489321934,2.51193974029489,2.51195221010004,2.52191558441558,2.52230953816032,2.17708105860817,2.06,2.59126315789474
45,2.43058032849972,2.49480048145324,2.1508815161528,2.03791467630539,2.55099053890449,1.06000052529879,1.0600088579755,5.25298792908302e-07,8.85797550265188e-06,1.06666666666667,1.06692406307516,2.52482115664826,2.52483136951869,2.53299145299145,2.53330692858956,2.17708105860817,2.06,2.59126315789474
46,2.4525621176883,2.50552178789787,2.1508815161528,2.03791467630539,2.55099053890449,1.0600003217331,1.06000684307006,3.2173309816308e-07,6.8430700621569e-06,1.06521739130435,1.06541445282692,2.5378354479083,2.53784348192652,2.54426266248319,2.54450543415275,2.17708105860817,2.06,2.59126315789474
47,2.47565927177094,2.51659369644262,2.1508815161528,2.03791467630539,2.55099053890449,1.06000017335574,1.06000496037308,1.73355735544334e-07,4.96037308339581e-06,1.06382978723404,1.0639713610848,2.55098467063223,2.55099059859672,2.55572704222247,2.55590235906356,2.17708105860817,2.06,2.59126315789474
48,2.49985621231026,2.52796849045612,2.1508815161528,2.03791467630539,2.55099053890449,1.06000007387014,1.06000319877781,7.38701426694632e-08,3.19877780508016e-06,1.0625,1.06259049092486,2.56427092528627,2.56427481514529,2.5673828125,2.56749545484918,2.17708105860817,2.06,2.59126315789474
49,2.52490727020591,2.53936763358948,2.1508815161528,2.03791467630539,2.55099053890449,1.06000001772145,1.06000154831154,1.77214503072065e-08,1.54831154342006e-06,1.06122448979592,1.0612679073492,2.57769635725354,2.57769827249455,2.57922855005877,2.57928287882963,2.17708105860817,2.06,2.59126315789474
50,2.55099053890439,2.55099053890439,2.1508815161528,2.03791467630539,2.55099053890449,1.06,1.06,0,0,1.06,1.06,2.59126315789474,2.59126315789474,2.59126315789474,2.59126315789474,2.17708105860817,2.06,2.59126315789474
