"k","Q_subset_mc","Q_bag_inf_mc","Q_bag_G_mc","R_bag_inf_mc","R_weight_exact_mc","R_weight_identity_gap","R_bag_inf_smallhet","R_bag_excess_smallhet","Q_bag_inf_smallhet_level","R_smallhet_abs_error","R_smallhet_rel_error","R_ratio_mc_to_smallhet","w_l2_mc","w_l2_smallhet","w_max_abs_mc","w_max_abs_smallhet","w_rmse_approx_error","w_max_approx_error","w_corr_with_approx"
24,1.13019175998166,1.06019303370896,1.0602805321168,0.000193033708960177,0.000193033708960255,-7.74662452240893e-17,4.72430298111956e-05,4.72430298111956e-05,1.06004724302981,0.000145790679148982,0.755260207837887,4.08597225308425,0.0149937519293959,0.00396833423538541,0.0117418381283309,0.00220226152643448,0.00173585009029139,0.00953957660189645,0.755471980508518
25,1.12415831838536,1.06015500740158,1.06023501154031,0.000155007401579477,0.00015500740157946,1.63985578588433e-17,4.02544159337998e-05,4.02544159337998e-05,1.06004025441593,0.000114752985645677,0.740306491666721,3.8506930974826,0.0134048904463031,0.00366307775574038,0.0101125725463383,0.00203285679363183,0.00155824322353675,0.00807971575270643,0.730127502594447
26,1.11930152932315,1.0601252974834,1.0601992677732,0.000125297483397402,0.000125297483397357,4.46691295064028e-17,3.42996206773206e-05,3.42996206773206e-05,1.06003429962068,9.09978627200813e-05,0.726254512482636,3.65302825288241,0.0111929368859641,0.00338130254376035,0.00681735202206654,0.00187648319412169,0.00130700835755418,0.00504931418242266,0.677753841215357
27,1.11448627314051,1.06009609396663,1.0601640816906,9.60939666339033e-05,9.60939666340126e-05,-1.09233368877915e-16,2.9210680423841e-05,2.9210680423841e-05,1.06002921068042,6.68832862100623e-05,0.696019620720547,3.28968600661126,0.00966281997734177,0.00312039956970476,0.00585334718997559,0.00173169282420489,0.00106578980227409,0.00455193870358148,0.767972346209995
28,1.10976334311745,1.06006146988887,1.06012359723041,6.1469888871013e-05,6.14698888711168e-05,-1.03744595379707e-16,2.48509404489274e-05,2.48509404489274e-05,1.06002485094045,3.66189484220856e-05,0.595721728063084,2.47354376778389,0.00807803750973436,0.00287813252236744,0.00685323548933181,0.00159724462356786,0.000871606735845788,0.00525599086576395,0.764600814456126
29,1.10587735860122,1.06005783171744,1.06011510612605,5.78317174422249e-05,5.78317174422804e-05,-5.54501648590555e-17,2.11084392708748e-05,2.11084392708748e-05,1.06002110843927,3.67232781713501e-05,0.635002379240032,2.7397438863242,0.00788586685568862,0.00265257354726027,0.006103973908586,0.00147206871262994,0.000869493288700511,0.00463190519595605,0.751084022122853
30,1.10189834211202,1.06006031401192,1.06011261154705,6.03140119204149e-05,6.031401192048e-05,-6.51605505663788e-17,1.78908515261333e-05,1.78908515261333e-05,1.06001789085153,4.24231603942816e-05,0.703371555688578,3.37122086292617,0.00787297356620134,0.00244205183716025,0.00474585145262861,0.00135523786242122,0.000935616751972037,0.00372735785458105,0.628787347394541
31,1.09859243070328,1.06005369374426,1.06010186716546,5.36937442578989e-05,5.36937442581068e-05,-2.0791609536483e-16,1.51215860063494e-05,1.51215860063494e-05,1.06001512158601,3.85721582515495e-05,0.71837341173828,3.55080110216968,0.00805529309299916,0.00224511217287313,0.00577011980345589,0.00124594448641951,0.000990241192412762,0.00452417531703638,0.577809020011645
32,1.0957209940267,1.0600520664572,1.06009665261666,5.20664571979079e-05,5.20664571980169e-05,-1.08982647125527e-16,1.27367487915539e-05,1.27367487915539e-05,1.06001273674879,3.93297084063541e-05,0.755375159420956,4.08789229104015,0.00746256367181682,0.00206048123760396,0.00519145391147269,0.0011434819464179,0.000871617145962397,0.00404797196505479,0.71374033053711
33,1.09316430102247,1.0600649713114,1.06010634547354,6.4971311401596e-05,6.49713114017043e-05,-1.08298244504146e-16,1.06827605187035e-05,1.06827605187035e-05,1.06001068276052,5.42885508828924e-05,0.835577268054942,6.08188410550281,0.00842410439241729,0.00188704005598747,0.00526018065186896,0.00104722925732549,0.00100052196274039,0.00421295139454348,0.76979387311616
34,1.08994806983952,1.06004799131241,1.06008536641057,4.79913124142861e-05,4.79913124143139e-05,-2.78233382514093e-17,8.9144727327446e-06,8.9144727327446e-06,1.06000891447273,3.90768396815415e-05,0.814248198594983,5.38352787125644,0.00758061472236705,0.001723801296819,0.00652041254054618,0.00095663849112086,0.000913713062290762,0.00556377404942532,0.715273403287775
35,1.08685084630665,1.06002459151382,1.06005812433231,2.45915138152863e-05,2.45915138154734e-05,-1.87011322226593e-16,7.39366823273874e-06,7.39366823273874e-06,1.06000739366823,1.71978455825476e-05,0.699340663276176,3.32602343534925,0.00439403346015081,0.00156989046674588,0.00284816069889127,0.000871224340127926,0.000514398617433822,0.00219341481443212,0.619136124220624
36,1.08459259047715,1.06002919160862,1.06005989585721,2.91916086196942e-05,2.91916086196983e-05,-4.10302759649983e-18,6.08785919986479e-06,6.08785919986479e-06,1.0600060878592,2.31037494198294e-05,0.79145173946469,4.79505318065545,0.00536869609535588,0.00142453023834348,0.00421208849669522,0.00079055541974571,0.000638543790646957,0.0034215330769495,0.684195444852863
37,1.08194571035787,1.06002128874744,1.06004869427445,2.12887474413392e-05,2.12887474412557e-05,8.35614943125312e-17,4.96931796407025e-06,4.96931796407025e-06,1.06000496931796,1.6319429477269e-05,0.766575371436806,4.2840380903906,0.00515204389719948,0.00128702731958446,0.00467477813277201,0.000714246981546318,0.000640347088578267,0.00396053115122569,0.580454189631435
38,1.07957491083641,1.06001116918585,1.06003562386291,1.1169185851756e-05,1.11691858519222e-05,-1.66248850623496e-16,4.01429078564209e-06,4.01429078564209e-06,1.06000401429079,7.15489506611388e-06,0.640592354812417,2.78235594982426,0.00280829025033849,0.00115676139654959,0.00194626388454165,0.000641954776936366,0.000322833993862726,0.00146381954862438,0.617742774337359
39,1.07761780429857,1.06001055578735,1.06003256484799,1.05557873528728e-05,1.05557873530482e-05,-1.75449322496572e-16,3.20235656015107e-06,3.20235656015107e-06,1.06000320235656,7.3534307927217e-06,0.696625514222817,3.29625610221705,0.00300753890535716,0.00103317577726011,0.001974939919221,0.000573369864870515,0.00034199833017286,0.00154403878158549,0.686219085343878
