"k","Q_subset_mc","Q_bag_inf_mc","Q_bag_G_mc","R_bag_inf_mc","R_weight_exact_mc","R_weight_identity_gap","R_bag_inf_smallhet","R_bag_excess_smallhet.x","Q_bag_inf_smallhet_level","R_smallhet_abs_error","R_smallhet_rel_error","R_ratio_mc_to_smallhet","w_l2_mc","w_l2_smallhet","w_max_abs_mc","w_max_abs_smallhet","w_rmse_approx_error","w_max_approx_error","w_corr_with_approx","Q_bag_inf_smallhet","Q_bag_G_smallhet","R_bag_excess_smallhet.y","R_bag_G_excess_smallhet","Q_subset_leading","Q_subset_delta","L_bag_inf_smallhet","L_bag_G_smallhet","L_subset_leading","L_subset_delta","L_equal","L_oracle_optimal","L_full_estimated_theory"
21,1.15096602546095,1.06034292109844,1.0604561999789,0.000342921098444027,0.000342921098444063,-3.63207727782644e-17,8.11425829192189e-05,8.11425829192189e-05,1.06008114258292,0.000261778515524808,0.76337827188996,4.22615458008553,0.0220695062930976,0.00520072376114514,0.0191973661908735,0.00342515198156068,0.00254910990058309,0.0157722142093128,0.824258790831944,1.06008114258292,1.06018461258326,8.11425829192469e-05,0.000184612583262078,1.14285714285714,1.14971229210377,2.24821640674574,2.24832932606119,2.3385518590998,2.34603304937352,2.17708105860817,2.06,2.59126315789474
22,1.14355538322783,1.06030811883026,1.06041217791076,0.000308118830262938,0.000308118830262998,-6.05526913333154e-17,6.8922674671098e-05,6.8922674671098e-05,1.06006892267467,0.00023919615559184,0.776311384110209,4.4705001907325,0.0210723025351972,0.00479314352908047,0.017668554582624,0.00315672314288038,0.00245901434820254,0.0145118314397436,0.815219750905732,1.06006892267467,1.06016429106678,6.8922674671068e-05,0.000164291066782285,1.13636363636364,1.14239437039736,2.25851592898737,2.25862048424294,2.34216013344454,2.34877180974756,2.17708105860817,2.06,2.59126315789474
23,1.13595430497136,1.06019448311463,1.06028918289195,0.00019448311462722,0.000194483114627345,-1.25008510487579e-16,5.86358571241743e-05,5.86358571241743e-05,1.06005863585712,0.000135847257503045,0.698504123421892,3.31679494708091,0.0166882500444541,0.00442100505632578,0.0147377541722553,0.00291163594234619,0.00189911868862508,0.0118261182299091,0.797724585028216,1.06005863585712,1.06014660604056,5.86358571241785e-05,0.000146606040563713,1.1304347826087,1.13575544371811,2.26891250677351,2.26900939559306,2.34642356241234,2.35228364538539,2.17708105860817,2.06,2.59126315789474
24,1.13019339940983,1.06019688078486,1.06028437643314,0.000196880784860021,0.000196880784859941,7.94720192431875e-17,4.99362164948017e-05,4.99362164948017e-05,1.06004993621649,0.000146944568365219,0.746363178456925,3.94264521182769,0.0169700345327965,0.00407987812296731,0.0154181620298772,0.00268697267518985,0.00198145912191565,0.0127311893546874,0.782244620633303,1.06004993621649,1.06013112379622,4.99362164947392e-05,0.000131123796224264,1.125,1.12970552809278,2.27940710535066,2.27949693790416,2.35127314814815,2.3564797278434,2.17708105860817,2.06,2.59126315789474
25,1.12410959032256,1.06010800964847,1.06018801162432,0.000108009648473795,0.00010800964847392,-1.24981405433267e-16,4.25492022204228e-05,4.25492022204228e-05,1.06004254920222,6.54604462533719e-05,0.60606109896982,2.53846471466749,0.011291399119608,0.00376604134427751,0.0086344690225485,0.00248028246940601,0.00117347548954582,0.00615418655314249,0.856301591548934,1.06004254920222,1.06011749601572,4.25492022204654e-05,0.000117496015717755,1.12,1.1241698218176,2.2900007872527,2.29008410022212,2.3566511627907,2.36128645309026,2.17708105860817,2.06,2.59126315789474
26,1.11900776891025,1.06009577892187,1.06016941890936,9.57789218700711e-05,9.57789218702365e-05,-1.65381488885508e-16,3.62549415369283e-05,3.62549415369283e-05,1.06003625494154,5.95239803331428e-05,0.621472649419567,2.64181702713583,0.0104259057353012,0.00347634585625617,0.00698989124496383,0.00228949151022093,0.00109166770594059,0.00470039973474289,0.844242914510223,1.06003625494154,1.06010544039209,3.62549415369173e-05,0.000105440392090816,1.11538461538462,1.11908564066651,2.30069469593938,2.30077196380238,2.36250898634076,2.36664237438923,2.17708105860817,2.06,2.59126315789474
27,1.11532138367622,1.06017171146637,1.06024064855663,0.000171711466371738,0.000171711466371809,-7.12591877866098e-17,3.08758957127622e-05,3.08758957127622e-05,1.06003087589571,0.000140835570658976,0.820187338882081,5.5613436438951,0.0157257623345337,0.00320810929327344,0.0137096310770418,0.00211283321467919,0.00188230480686722,0.0115967978623626,0.797205687608693,1.06003087589571,1.06009472618973,3.0875895712823e-05,9.47261897319418e-05,1.11111111111111,1.11440006521964,2.31149004384542,2.31156168807205,2.36880542514345,2.37249584782862,2.17708105860817,2.06,2.59126315789474
28,1.11050504328126,1.0601157654711,1.06017875206836,0.000115765471095486,0.000115765471095549,-6.3629114997743e-17,2.62676197381181e-05,2.62676197381181e-05,1.06002626761974,8.94978513573677e-05,0.773096248047468,4.40715497824469,0.0129638068005779,0.00295903248478947,0.0112195095384947,0.00194879336881901,0.00151586678966607,0.00927071616967565,0.807130193534627,1.06002626761974,1.06008516335664,2.62676197380074e-05,8.51633566418819e-05,1.10714285714286,1.11006811479551,2.32238810359018,2.32245450019923,2.37550539083558,2.37880320488739,2.17708105860817,2.06,2.59126315789474
29,1.10599756599669,1.06006249501141,1.06011991385014,6.24950114103129e-05,6.24950114102379e-05,7.50267903359969e-17,2.23117695353227e-05,2.23117695353227e-05,1.06002231176954,4.01832418749901e-05,0.642983191268913,2.80098856844923,0.0086538946580743,0.00272713338723544,0.00783591890126853,0.00179606661577677,0.000958937600772406,0.00603985228549176,0.770097087148353,1.06002231176954,1.06007659422465,2.23117695352659e-05,7.65942246510054e-05,1.10344827586207,1.10605131564119,2.33339020148303,2.33345168729712,2.38257885275372,2.38552731961253,2.17708105860817,2.06,2.59126315789474
30,1.10278319758404,1.06010986592917,1.06016320759374,0.000109865929174058,0.000109865929174073,-1.50975152518606e-17,1.89107565424101e-05,1.89107565424101e-05,1.06001891075654,9.09551726316477e-05,0.827874240134534,5.80970565231843,0.0122274410573799,0.00251069422951834,0.00904462427641367,0.00165352164627067,0.00146150257820185,0.007391102630143,0.798296803475285,1.06001891075654,1.0600688871181,1.89107565424784e-05,6.88871180969386e-05,1.1,1.10231656767645,2.34449771271816,2.34455459057726,2.39,2.39263647464129,2.17708105860817,2.06,2.59126315789474
31,1.09857671021228,1.06005977059768,1.0601079167722,5.97705976805862e-05,5.97705976807209e-05,-1.34644357295544e-16,1.59836233106895e-05,1.59836233106895e-05,1.06001598362331,4.37869743698967e-05,0.732583846725009,3.7394898840373,0.0102387569079431,0.00230821888842815,0.00991263573637355,0.00152017312641014,0.00125811396808421,0.00839246260996341,0.656224268411091,1.06001598362331,1.06006193138572,1.5983623310678e-05,6.19313857170845e-05,1.09677419354839,1.09883523971213,2.35571205782761,2.35576460096261,2.39774656582806,2.40010345593876,2.17708105860817,2.06,2.59126315789474
32,1.09547683224934,1.06005237102549,1.06009665160202,5.23710254933807e-05,5.23710254935042e-05,-1.23517732500411e-16,1.34628335150556e-05,1.34628335150556e-05,1.06001346283352,3.8908191978325e-05,0.742933551744996,3.89004479887637,0.00774762855566363,0.0021183982561561,0.00551776019167513,0.00139515888904088,0.000880020446637738,0.00455228807928767,0.785726164872712,1.06001346283352,1.06005563350497,1.34628335151099e-05,5.56335049732848e-05,1.09375,1.09558244122844,2.36703470008274,2.3670831558062,2.40579927884615,2.40790482429614,2.17708105860817,2.06,2.59126315789474
33,1.09312850705239,1.06007493358047,1.06011625054731,7.49335804708373e-05,7.4933580470822e-05,1.5355013267826e-17,1.12917533899928e-05,1.12917533899928e-05,1.06001129175339,6.36418270808445e-05,0.849309837871856,6.63613328088145,0.0106034764877905,0.00194008190462781,0.00918481113712502,0.00127772127211825,0.00130322170822936,0.00790708986500677,0.76022941410761,1.06001129175339,1.06004991400233,1.12917533900969e-05,4.99140023346722e-05,1.09090909090909,1.09253643183883,2.37846714361865,2.3785117364568,2.41414141414141,2.41602032468347,2.17708105860817,2.06,2.59126315789474
34,1.0897395064757,1.06003684967686,1.06007397799786,3.68496768605731e-05,3.68496768606219e-05,-4.87958740254257e-17,9.42266069933237e-06,9.42266069933237e-06,1.0600094226607,2.74270161612407e-05,0.744294617969525,3.91075069308014,0.00700019236992619,0.00177225475024824,0.00551269907051127,0.00116719175030871,0.000795275583387263,0.00434550732020256,0.827027730055093,1.0600094226607,1.06004470500002,9.42266069925424e-06,4.47050000205174e-05,1.08823529411765,1.08967813903723,2.39001093211605,2.39005186648061,2.42275842375785,2.42443240402863,2.17708105860817,2.06,2.59126315789474
35,1.08697778369413,1.06003527542297,1.0600689535583,3.52754229659968e-05,3.5275422966097e-05,-1.00173504474083e-16,7.81515959150622e-06,7.81515959150622e-06,1.06000781515959,2.74602633744906e-05,0.778453128711185,4.51371754510751,0.0074383638956207,0.00161401771897608,0.00719681144857184,0.001062978201174,0.000910836804308429,0.00613383324739784,0.6852242440524,1.06000781515959,1.06003994824778,7.81515959147328e-06,3.99482477848601e-05,1.08571428571429,1.0869907617809,2.40166764791777,2.4017051103962,2.43163763066202,2.43312581495432,2.17708105860817,2.06,2.59126315789474
36,1.08443018462489,1.06002579177134,1.0600562972624,2.57917713379907e-05,2.57917713381668e-05,-1.76081209075224e-16,6.43491021234788e-06,6.43491021234788e-06,1.06000643491021,1.93568611256428e-05,0.750505301554477,4.00810119906555,0.00578431867680183,0.0014645716338857,0.00392901294570039,0.000964554293657893,0.000674907170062277,0.00319087966485765,0.757141824453673,1.06000643491021,1.06003559353324,6.43491021223852e-06,3.55935332412294e-05,1.08333333333333,1.08445944262049,2.41343891148794,2.41347307281591,2.44076797385621,2.44208728816813,2.17708105860817,2.06,2.59126315789474
37,1.08228560471461,1.06002977357522,1.06005759336415,2.97735752223804e-05,2.97735752225977e-05,-2.17247010311783e-16,5.25260421859127e-06,5.25260421859127e-06,1.06000525260422,2.45209710037892e-05,0.82358167672645,5.66834544986251,0.00639927076791088,0.00132320371555696,0.00549833768989677,0.000871450597358869,0.000765098522766271,0.0046268870925379,0.793190747858988,1.06000525260422,1.06003159738981,5.25260421868623e-06,3.15973898148414e-05,1.08108108108108,1.08207099495305,2.42532638114487,2.42535739791215,2.45013979496738,2.45130526006787,2.17708105860817,2.06,2.59126315789474
38,1.07977208561713,1.06001907662577,1.06004376788701,1.9076625771719e-05,1.90766257717739e-05,-5.4945333222492e-17,4.24313373943274e-06,4.24313373943274e-06,1.06000424313374,1.48334920322862e-05,0.77757420047925,4.49588133280695,0.0052007500962793,0.00118927621398237,0.0047112917369522,0.000783247095601898,0.000619119458567361,0.0039280446413503,0.751539313375216,1.06000424313374,1.06002792204035,4.24313373947882e-06,2.79220403485159e-05,1.07894736842105,1.07981367489285,2.43733175301467,2.43735976914675,2.45974465867639,2.46076964504649,2.17708105860817,2.06,2.59126315789474
39,1.07745014025808,1.06001015114307,1.06003195112946,1.01511430674606e-05,1.01511430674031e-05,5.74745736029933e-17,3.3849135231237e-06,3.3849135231237e-06,1.06000338491352,6.76622954433686e-06,0.666548535408389,2.99893719532686,0.00312136350340035,0.00106221678941161,0.00235597043007421,0.000699566850345285,0.000335242998300477,0.00165640357972893,0.791994980859554,1.06000338491352,1.06002453452854,3.38491352303016e-06,2.4534528535014e-05,1.07692307692308,1.0776769894805,2.44945676116583,2.44948190921552,2.46957520091848,2.47047164420816,2.17708105860817,2.06,2.59126315789474
