"k","Q_subset_mc","Q_bag_inf_mc","Q_bag_G_mc","R_bag_inf_mc","R_weight_exact_mc","R_weight_identity_gap","R_bag_inf_smallhet","R_bag_excess_smallhet","Q_bag_inf_smallhet_level","R_smallhet_abs_error","R_smallhet_rel_error","R_ratio_mc_to_smallhet","w_l2_mc","w_l2_smallhet","w_max_abs_mc","w_max_abs_smallhet","w_rmse_approx_error","w_max_approx_error","w_corr_with_approx"
27,1.11117075561188,1.06001633650014,1.06022095417659,1.63365001430993e-05,1.63365001430934e-05,5.93600689435814e-18,1.97241211792539e-06,1.97241211792539e-06,1.06000197241212,1.43640880251739e-05,0.87926348357065,8.28249836564696,0.00238437053773949,0.000810845673340575,0.00092074843586798,0.000313164164912404,0.000341670549857372,0.000791985108815042,0.130797223969153
29,1.10364823639804,1.06002305401691,1.06019755474644,2.30540169112725e-05,2.30540169112533e-05,1.92310360344616e-17,1.42531912315143e-06,1.42531912315143e-06,1.06000142531912,2.16286977881211e-05,0.938174803608542,16.174635235581,0.00296752069324343,0.000689279605373472,0.00137850165172489,0.000266213015750125,0.000395458165518429,0.00112006272174049,0.357360565845844
31,1.09707290939423,1.06002257195466,1.06017077330442,2.25719546596004e-05,2.25719546596384e-05,-3.80317793317181e-17,1.02106486560413e-06,1.02106486560413e-06,1.06000102106487,2.15508897939962e-05,0.954764003339434,22.1062886599719,0.0028280245491321,0.000583399481660189,0.00130769916002959,0.000225320079382978,0.000358503332513171,0.00108895899041146,0.579393554378607
33,1.09107175890974,1.06001204823024,1.06013628707296,1.20482302377045e-05,1.20482302377213e-05,-1.67576998284791e-17,7.21339112757822e-07,7.21339112757822e-07,1.06000072133911,1.13268911249467e-05,0.94012903982359,16.7025883174999,0.00231667666416265,0.000490353312336395,0.00144003009103288,0.000189383862575486,0.000308378397176233,0.00125064622845739,0.37525651105799
35,1.08583498260416,1.06000964637035,1.06011294771529,9.64637035361093e-06,9.64637035364642e-06,-3.54906804899552e-17,4.99247556255873e-07,4.99247556255873e-07,1.06000049924756,9.14712279735506e-06,0.948245035391059,19.3218178691835,0.00190818293620188,0.00040794099093532,0.000859894219027421,0.000157554641974564,0.000253043317450682,0.000806732014722462,0.389267518867584
37,1.08116049973398,1.06001324501443,1.06009783403331,1.32450144318952e-05,1.32450144320392e-05,-1.43968495978919e-16,3.35546547630459e-07,3.35546547630459e-07,1.06000033554655,1.29094678842647e-05,0.974666199923314,39.4729569576203,0.00227906029843252,0.000334438109685713,0.00113802967574412,0.000129166418195363,0.000312666816444286,0.00100886325754876,0.274163773036981
39,1.07692265078033,1.06000481340586,1.06007248475536,4.81340586144796e-06,4.81340586147092e-06,-2.29579810023806e-17,2.16234842650381e-07,2.16234842650381e-07,1.06000021623484,4.59717101879758e-06,0.955076540629521,22.2600844639571,0.00136990678878552,0.000268473985487347,0.000738526971022842,0.000103689807111465,0.000195904229154915,0.000657328058023017,0.040512248541224
41,1.07320703102394,1.06000440378866,1.0600572142976,4.40378865751434e-06,4.40378865757324e-06,-5.8899283020275e-17,1.30974522491874e-07,1.30974522491874e-07,1.06000013097452,4.27281413502247e-06,0.970258672093996,33.6232465194715,0.0012936771180122,0.000208945385601018,0.000502203884064929,8.06987190601424e-05,0.000181157839374087,0.000538010629310979,0.141228820155078
43,1.06979476953805,1.06000304982379,1.06004221670265,3.04982379395469e-06,3.04982379409223e-06,-1.37539939425732e-16,7.20325330551259e-08,7.20325330551259e-08,1.06000007203253,2.97779126089956e-06,0.976381411543215,42.3395327722362,0.00104098227544168,0.00015495432989016,0.000358833476872274,5.98463368740591e-05,0.000144224952472108,0.000330413285399496,0.20958190238619
45,1.06668196018238,1.06000282804397,1.06002954457252,2.82804396745107e-06,2.82804396748105e-06,-2.99794606186451e-17,3.35571059760463e-08,3.35571059760463e-08,1.06000003355711,2.79448686147502e-06,0.988134163979674,84.2755620663407,0.00111575310130211,0.000105762479131379,0.000488235914851268,4.08474997711832e-05,0.000155892528980266,0.000472452789694131,0.173580441523821
47,1.06384523691937,1.06000159330972,1.06001696788415,1.59330971571947e-06,1.59330971583185e-06,-1.12383907925227e-16,1.10743007046346e-08,1.10743007046346e-08,1.0600000110743,1.58223541501484e-06,0.993049499042542,143.874521580643,0.000757141728796968,6.07571688627072e-05,0.00033989908156113,2.3465584974935e-05,0.000106473843393279,0.000362679412775561,0.11000729727893
49,1.06123044415824,1.06000061444939,1.06000553376822,6.14449387370541e-07,6.14449387395708e-07,-2.51664076541093e-17,1.13208062643054e-09,1.13208062643054e-09,1.06000000113208,6.13317306744111e-07,0.99815756895572,542.761154130785,0.000505040666298133,1.94257614731105e-05,0.000217580277097833,7.50260199878875e-06,7.09613381018256e-05,0.000223341261933266,0.186929697063155
