"k","rsm_bagged","rsm_subset_avg","equal_weight","oracle_optimal","full_estimated","Q_bag_inf_smallhet","Q_bag_G_smallhet","R_bag_excess_smallhet","R_bag_G_excess_smallhet","Q_subset_leading","Q_subset_delta","L_bag_inf_smallhet","L_bag_G_smallhet","L_subset_leading","L_subset_delta","L_equal","L_oracle_optimal","L_full_estimated_theory"
11,2.19990103662363,2.86780199236167,2.1884016873918,2.18126722863615,2.71947767951898,1.1600345428711,1.1607435906016,3.45428710957218e-05,0.000743590601597788,1.72727272727273,1.72944272814925,2.25435919539822,2.25509920591171,2.84636760619293,2.84863236693306,2.16651456182473,2.16,2.71705263157895
12,2.20366056569213,2.81661370870355,2.1884016873918,2.18126722863615,2.71947767951898,1.16002755619754,1.16066085508562,2.75561975369154e-05,0.00066085508562308,1.66666666666667,1.6684433162447,2.264239411979,2.26490326476081,2.7953216374269,2.79718400255475,2.16651456182473,2.16,2.71705263157895
13,2.20775204510569,2.77412708040105,2.1884016873918,2.18126722863615,2.71947767951898,1.16002226031634,1.16059146326017,2.22603163371193e-05,0.000591463260172453,1.61538461538462,1.61685860930423,2.27420845909958,2.27480775206688,2.75364283293799,2.75519474724102,2.16651456182473,2.16,2.71705263157895
14,2.21197331099802,2.73936651389841,2.1884016873918,2.18126722863615,2.71947767951898,1.16001817035944,1.16053243336077,1.81703594364091e-05,0.000532433360772799,1.57142857142857,1.57266516533466,2.28426700316772,2.28481084766914,2.71934260429836,2.72065032971231,2.16651456182473,2.16,2.71705263157895
15,2.21701483251342,2.71066443811645,2.1884016873918,2.18126722863615,2.71947767951898,1.1600149612596,1.1604816092247,1.49612596045401e-05,0.000481609224696644,1.53333333333333,1.53438062150565,2.29441589218242,2.2949115760209,2.69096296296296,2.69207541573267,2.16651456182473,2.16,2.71705263157895
16,2.22200971020005,2.68652040907962,2.1884016873918,2.18126722863615,2.71947767951898,1.16001240887635,1.16043739336525,1.24088763493457e-05,0.000437393365253724,1.5,1.50089416903105,2.30465609697075,2.30510954024239,2.66741071428571,2.66836476070724,2.16651456182473,2.16,2.71705263157895
17,2.22817674920237,2.66707773764169,2.1884016873918,2.18126722863615,2.71947767951898,1.16001035486939,1.16039857721992,1.03548693866085e-05,0.00039857721991754,1.47058823529412,1.47135700590009,2.31498867629499,2.31540475316395,2.64785017145872,2.64867410049382,2.16651456182473,2.16,2.71705263157895
18,2.23411024437001,2.65003780042128,2.1884016873918,2.18126722863615,2.71947767951898,1.16000868499424,1.16036422969355,8.68499423756219e-06,0.000364229693550433,1.44444444444444,1.44510938931576,2.32541475546677,2.32579752656198,2.63163163163163,2.6323474957048,2.16651456182473,2.16,2.71705263157895
19,2.24018589293966,2.63592074317918,2.1884016873918,2.18126722863615,2.71947767951898,1.16000731527697,1.16033362192235,7.31527696973266e-06,0.000333621922347316,1.42105263157895,1.42163077443624,2.33593551290134,2.33628839655856,2.61824243867588,2.61886767009168,2.16651456182473,2.16,2.71705263157895
20,2.24772563202878,2.6254995191305,2.1884016873918,2.18126722863615,2.71947767951898,1.16000618296953,1.16030617524082,6.18296953036612e-06,0.00030617524081844,1.4,1.40050494251165,2.34655217149872,2.34687807219344,2.60727272727273,2.60782127845584,2.16651456182473,2.16,2.71705263157895
