"k","Q_subset_mc","Q_bag_inf_mc","Q_bag_G_mc","R_bag_inf_mc","R_weight_exact_mc","R_weight_identity_gap","R_bag_inf_smallhet","R_bag_excess_smallhet.x","Q_bag_inf_smallhet_level","R_smallhet_abs_error","R_smallhet_rel_error","R_ratio_mc_to_smallhet","w_l2_mc","w_l2_smallhet","w_max_abs_mc","w_max_abs_smallhet","w_rmse_approx_error","w_max_approx_error","w_corr_with_approx","Q_bag_inf_smallhet","Q_bag_G_smallhet","R_bag_excess_smallhet.y","R_bag_G_excess_smallhet","Q_subset_leading","Q_subset_delta","L_bag_inf_smallhet","L_bag_G_smallhet","L_subset_leading","L_subset_delta","L_equal","L_oracle_optimal","L_full_estimated_theory"
13,1.61721657652371,1.16027460974428,1.16084578720276,0.000274609744282062,0.000274609744281919,1.42464165464595e-16,2.22603163370311e-05,2.22603163370311e-05,1.16002226031634,0.000252349427945031,0.918938359615649,12.3362911885145,0.00603300672141858,0.00166809458428738,0.00308262964176808,0.000661838243433098,0.000794110417798064,0.00242079139833498,0.380039062582261,1.16002226031634,1.16059146326017,2.22603163371193e-05,0.000591463260172453,1.61538461538462,1.61685860930423,2.27420845909958,2.27480775206688,2.75364283293799,2.75519474724102,2.16651456182473,2.16,2.71705263157895
14,1.57350156058315,1.16018597233943,1.16070261682474,0.000185972339431961,0.000185972339431817,1.44253099049196e-16,1.81703594363601e-05,1.81703594363601e-05,1.16001817035944,0.000167801979995601,0.902295365580386,10.2349290383226,0.00483257015445692,0.00150708159352605,0.00133748175227926,0.000597954243101718,0.00060941306558654,0.00144096259929146,0.484397905529602,1.16001817035944,1.16053243336077,1.81703594364091e-05,0.000532433360772799,1.57142857142857,1.57266516533466,2.28426700316772,2.28481084766914,2.71934260429836,2.72065032971231,2.16651456182473,2.16,2.71705263157895
15,1.53441079437605,1.16012795854403,1.16059581208882,0.000127958544029916,0.000127958544029715,2.00712927181379e-16,1.49612596044927e-05,1.49612596044927e-05,1.1600149612596,0.000112997284425423,0.883077291024858,8.55265849350622,0.00397731575782388,0.0013675370015329,0.00147152081775733,0.000542588109481189,0.000527669981773899,0.00145661344625447,0.346325612077308,1.1600149612596,1.1604816092247,1.49612596045401e-05,0.000481609224696644,1.53333333333333,1.53438062150565,2.29441589218242,2.2949115760209,2.69096296296296,2.69207541573267,2.16651456182473,2.16,2.71705263157895
16,1.50127062668135,1.16014243317085,1.16056884341274,0.000142433170851275,0.000142433170851284,-9.10729824887824e-18,1.24088763492619e-05,1.24088763492619e-05,1.16001240887635,0.000130024294502013,0.912879308414618,11.4783294508166,0.00428960109257818,0.00124543548353889,0.00185079199478104,0.000494142742563225,0.000561251822291022,0.00159062956552076,0.393230555274496,1.16001240887635,1.16043739336525,1.24088763493457e-05,0.000437393365253724,1.5,1.50089416903105,2.30465609697075,2.30510954024239,2.66741071428571,2.66836476070724,2.16651456182473,2.16,2.71705263157895
17,1.47117977680047,1.16011080231759,1.16049963853569,0.000110802317589753,0.000110802317589631,1.22596160653798e-16,1.03548693865993e-05,1.03548693865993e-05,1.16001035486939,0.000100447448203154,0.906546454877069,10.7005036425807,0.00376851440788303,0.00113769885001476,0.00147003773117309,0.000451396830576787,0.000519518441809741,0.00122450751092555,0.233366707169451,1.16001035486939,1.16039857721992,1.03548693866085e-05,0.00039857721991754,1.47058823529412,1.47135700590009,2.31498867629499,2.31540475316395,2.64785017145872,2.64867410049382,2.16651456182473,2.16,2.71705263157895
18,1.44538475073229,1.16011479779185,1.16047138523302,0.000114797791848309,0.000114797791848293,1.62223750058144e-17,8.68499423752863e-06,8.68499423752863e-06,1.16000868499424,0.00010611279761078,0.924345284890107,13.2179468067184,0.00373835463645931,0.00104193295354887,0.00132972544265108,0.00041340046436662,0.000491190872277661,0.00122142264444619,0.384776329266692,1.16000868499424,1.16036422969355,8.68499423756219e-06,0.000364229693550433,1.44444444444444,1.44510938931576,2.32541475546677,2.32579752656198,2.63163163163163,2.6323474957048,2.16651456182473,2.16,2.71705263157895
19,1.42220886826643,1.16010940255138,1.16043702688352,0.000109402551380144,0.000109402551380168,-2.37982376860568e-17,7.31527696982628e-06,7.31527696982628e-06,1.16000731527697,0.000102087274410318,0.933134311060007,14.9553532738956,0.00387241142171057,0.000956247677763604,0.0013428485231488,0.00037940371565226,0.00049120646276714,0.00123200234953093,0.519282549033206,1.16000731527697,1.16033362192235,7.31527696973266e-06,0.000333621922347316,1.42105263157895,1.42163077443624,2.33593551290134,2.33628839655856,2.61824243867588,2.61886767009168,2.16651456182473,2.16,2.71705263157895
20,1.39992224484377,1.16008598052392,1.16038577585432,8.59805239163958e-05,8.59805239161749e-05,2.20879087589609e-16,6.1829695304281e-06,6.1829695304281e-06,1.16000618296953,7.97975543859677e-05,0.928088719993842,13.9060241997412,0.00334141222639643,0.000879130929556862,0.00150488614001151,0.000348806641809336,0.00049760559019839,0.00136470680006901,-0.0753452697033911,1.16000618296953,1.16030617524082,6.18296953036612e-06,0.00030617524081844,1.4,1.40050494251165,2.34655217149872,2.34687807219344,2.60727272727273,2.60782127845584,2.16651456182473,2.16,2.71705263157895
21,1.38125801079295,1.1600911574406,1.16036761600729,9.11574405997317e-05,9.11574405996606e-05,7.11914251508294e-17,5.24049118174858e-06,5.24049118174858e-06,1.16000524049118,8.59169494179832e-05,0.942511646364016,17.3948275912021,0.0034211374438329,0.000809358633560286,0.00128346062899085,0.000321123574999071,0.000473780820694307,0.00135065479859183,0.205102816438797,1.16000524049118,1.16028142441676,5.24049118166836e-06,0.00028142441675838,1.38095238095238,1.38139511210394,2.35726599304745,2.35756739924934,2.59839095455534,2.59887411777554,2.16651456182473,2.16,2.71705263157895
22,1.36383243486044,1.16007976116091,1.16033445200303,7.97611609071325e-05,7.97611609069823e-05,1.50189105943555e-16,4.45128384927055e-06,4.45128384927055e-06,1.16000445128385,7.53098770578619e-05,0.944192338744251,17.9186867447699,0.00326783418408982,0.000745929273563398,0.00128629322607005,0.000295957150626103,0.000459225081934357,0.00144931689864094,0.141691529082475,1.16000445128385,1.16025899117429,4.45128384929383e-06,0.000258991174290069,1.36363636363636,1.36402585097317,2.36807827457266,2.3683573343608,2.59132610508757,2.59175311184674,2.16651456182473,2.16,2.71705263157895
23,1.3483084330882,1.16005624412044,1.16029155935665,5.62441204421393e-05,5.62441204421661e-05,-2.68136749782821e-17,3.78692273697297e-06,3.78692273697297e-06,1.16000378692274,5.24571977051664e-05,0.932669891409028,14.8521964530751,0.0028496194171975,0.000688015510087979,0.00141389438544389,0.000272979110981219,0.000377032640472654,0.00114091527446267,0.378973002762953,1.16000378692274,1.16023856479778,3.78692273694803e-06,0.000238564797779173,1.34782608695652,1.3481697151308,2.37899034596559,2.37924892620585,2.5858545381687,2.5862330042224,2.16651456182473,2.16,2.71705263157895
