"vintage","target_date","target_year","target_q","k_main","MEAN_bivariate","MEAN_fore_rs","RS_fore","LASSO_fore","RIDGE_fore","RF_fore","covid_excl","actual"
"2003-06",2003-06-01,2003,2,6,0.687818249944855,0.630867112824056,0.458650357661789,-0.10186768202632,0.618250157758049,0.345617383834632,FALSE,0.885621672871495
"2003-09",2003-09-01,2003,3,7,0.893449429207515,0.891029367594397,0.943395187927388,0.825452181770185,0.871351867893944,0.785158459110438,FALSE,1.66319995697106
"2004-03",2004-03-01,2004,1,7,0.896511296165442,0.948633084738975,1.00417533359606,0.98214132371454,0.964516644530267,1.111340917833,FALSE,0.566651453956935
"2004-06",2004-06-01,2004,2,7,0.96281171477158,0.896564846334288,1.13574969063302,0.260307769415978,0.949501822125082,1.07120162503533,FALSE,0.774952323742117
"2004-09",2004-09-01,2004,3,7,0.891521717299364,0.868769070461443,0.92611009595847,0.815250782363519,0.89402839662004,0.988606595703961,FALSE,0.948593888793092
"2004-12",2004-12-01,2004,4,7,0.897380038095576,0.906810266329934,0.965267150073482,0.830079253385478,0.932176966663841,0.961526540929767,FALSE,1.02020812862096
"2005-03",2005-03-01,2005,1,7,0.895916468467906,0.917064214387905,0.922688862560428,0.871901243754778,0.905173192643196,0.837053118854854,FALSE,1.10936335419582
"2005-06",2005-06-01,2005,2,7,0.823506474162733,0.866270443759626,0.880365394767905,1.00870481183044,0.906210857560202,0.886045260666952,FALSE,0.492624454810731
"2005-09",2005-09-01,2005,3,7,0.873772975672556,0.797521701559337,0.85909427302844,0.686375781529137,0.818912886173693,0.796214609450527,FALSE,0.783814034507291
"2005-12",2005-12-01,2005,4,7,0.881505672959411,0.86469005988131,1.1090332923677,1.65925046125122,1.00280900153405,1.11717802915481,FALSE,0.555516539651735
"2006-03",2006-03-01,2006,1,7,0.870240984726442,0.807738438659804,0.808172854425446,0.776709690421566,0.807283875028923,0.803076141606189,FALSE,1.34538376848747
"2006-06",2006-06-01,2006,2,7,0.855608761768842,0.942995918824329,0.967501758576308,1.19810712611546,0.926087340792571,0.979963072557804,FALSE,0.25875276349554
"2006-09",2006-09-01,2006,3,7,0.787442700932133,0.675137810748963,0.635840026928393,0.462134200602608,0.671039122360274,0.619664536436663,FALSE,0.149955925631562
"2006-12",2006-12-01,2006,4,7,0.84135455438528,0.703773786911901,0.722367552482798,0.39805331348393,0.676579468427374,0.545290517962849,FALSE,0.859449800611878
"2007-03",2007-03-01,2007,1,8,0.79388047865501,0.797098889597908,0.700032129711471,0.81238955028286,0.737032692668582,0.801203326995993,FALSE,0.300835666705646
"2007-06",2007-06-01,2007,2,8,0.78092923927648,0.674614795177715,0.690061674818326,0.723047312376622,0.649496817250843,0.478888293174177,FALSE,0.611761957994639
"2007-09",2007-09-01,2007,3,8,0.756280919364036,0.71125416132714,0.554823377593527,0.79718021970148,0.689287701712602,0.618223792572654,FALSE,0.576025795961232
"2007-12",2007-12-01,2007,4,8,0.77812544785175,0.732085654169916,0.742296342162347,0.781103549711042,0.707441473162866,0.579421766741261,FALSE,0.628236731812626
"2008-03",2008-03-01,2008,1,8,0.690827951097501,0.668044801058256,0.233752009639574,0.479225703897566,0.492671276596837,0.497997840868909,FALSE,-0.426764320899475
"2008-06",2008-06-01,2008,2,8,0.697116345917586,0.46060651042432,0.40966985638607,0.48837311053629,0.364471498704907,0.35733385101182,FALSE,0.595428261812936
"2008-09",2008-09-01,2008,3,8,0.554950789089892,0.52020214912781,0.00470109126506399,0.433995376005202,0.346374756019275,0.33264377580352,FALSE,-0.525258050516886
"2008-12",2008-12-01,2008,4,8,0.446814546555596,0.211016214130905,-0.49625467600591,0.333903447572946,-0.124696746588177,0.314534925321229,FALSE,-2.18902659529812
"2009-03",2009-03-01,2009,1,8,0.42679593068148,-0.185236628298246,-0.588006991076616,-0.296725039164878,-0.493924481529371,0.0364155367292796,FALSE,-1.1348742974823
"2009-06",2009-06-01,2009,2,8,0.473536868682162,0.0596471826060955,-0.381210196267367,-0.264767656117102,-0.256763790791629,-0.36919011722366,FALSE,-0.178650950635106
"2009-09",2009-09-01,2009,3,8,0.672420218928682,0.456332388432525,0.567203603102206,0.985020496954967,0.37730157607261,0.482609017661198,FALSE,0.351192395175048
"2009-12",2009-12-01,2009,4,8,0.693827224007342,0.608082359905642,0.488755388625283,0.880634574555314,0.526188887995398,0.494814294508925,FALSE,1.08091365081857
"2010-03",2010-03-01,2010,1,8,0.695829115524357,0.770311262371394,0.718186389633926,0.829808790982813,0.751838914408168,0.72091589145896,FALSE,0.4845009505686
"2010-06",2010-06-01,2010,2,8,0.773891896477966,0.708326172823877,0.782351979784085,0.66766309761278,0.642642617076639,0.832070884768665,FALSE,0.967586118312402
"2010-09",2010-09-01,2010,3,8,0.707873542939764,0.759709909985834,0.622665815111574,0.552289789305025,0.684954898198664,0.719474283833171,FALSE,0.771084936047317
"2010-12",2010-12-01,2010,4,8,0.703237822028593,0.70954286139101,0.630591643820706,0.618072238013578,0.655465785074354,0.592536127600771,FALSE,0.525110260826867
"2011-03",2011-03-01,2011,1,8,0.79910610056477,0.751768524354919,0.815224556839188,0.751846847166118,0.712876581595296,0.777595458803359,FALSE,-0.237204897109011
"2011-06",2011-06-01,2011,2,8,0.642115980773118,0.413964013478918,0.320895753647955,0.354537271395635,0.327991499362313,0.154401997011419,FALSE,0.676582293143668
"2011-09",2011-09-01,2011,3,8,0.739186109942515,0.71869794211473,0.699636871978484,0.646619444063416,0.6457735463249,0.727168630673459,FALSE,-0.0223127359171404
"2011-12",2011-12-01,2011,4,9,0.739661005452548,0.558282833462073,0.579687693026838,0.702906223023379,0.478844520062684,0.436649629393888,FALSE,1.123049056758
"2012-03",2012-03-01,2012,1,9,0.821739446869635,0.90227406059216,0.848509707816072,0.835481348526756,0.820457378892094,0.717998097214313,FALSE,0.838590819971663
