"k","Q_subset_mc","Q_bag_inf_mc","Q_bag_G_mc","Q_opt","Q_ave","R_weight_exact_mc","R_bag_inf_mc","R_weight_identity_gap","w_l2_mc","w_max_abs_mc","L_pop_bag_inf","L_pop_opt"
39,0.157739924806739,0.155390382398794,0.155402130110834,0.155172413793103,0.164000228359631,0.000217968605689551,0.000217968605690566,1.01459639301194e-15,0.029129073599511,0.0173584407484704,1.45818234468262,1.57758620689655
40,0.157466633976922,0.155352708372437,0.155363278000459,0.155172413793103,0.164000228359631,0.000180294579333021,0.000180294579333246,2.2456537497606e-16,0.0260702903974123,0.0156229109500676,1.46826073355664,1.57758620689655
41,0.157189336719719,0.155317149100449,0.155326510038546,0.155172413793103,0.164000228359631,0.000144735307347046,0.000144735307345933,-1.11225590369857e-15,0.0235465086743894,0.0140081792179025,1.47848278521246,1.57758620689655
42,0.156847412005667,0.155270498253316,0.155278382822078,0.155172413793103,0.164000228359631,9.80844602130186e-05,9.80844602128939e-05,-1.24696802362989e-16,0.0195209999591441,0.0115497380936909,1.48883451535463,1.57758620689655
43,0.156594688610087,0.15525298578451,0.155259694298638,0.155172413793103,0.164000228359631,8.05719914097292e-05,8.05719914069858e-05,-2.74339741462154e-15,0.0180432453647498,0.0107252160247334,1.49937089644373,1.57758620689655
44,0.156377473174729,0.155237076514273,0.155242778497576,0.155172413793103,0.164000228359631,6.46627211730364e-05,6.46627211699224e-05,-3.11397771717709e-15,0.0166131554636301,0.00989998501874964,1.51005989287223,1.57758620689655
45,0.156182679571907,0.155223394140861,0.155228190568016,0.155172413793103,0.164000228359631,5.0980347757087e-05,5.09803477578008e-05,7.13804829046566e-16,0.0146788732070303,0.0085248020158934,1.5209056196243,1.57758620689655
46,0.155904251357871,0.155196007320289,0.155199548540477,0.155172413793103,0.164000228359631,2.35935271850632e-05,2.35935271858945e-05,8.31298463226104e-16,0.0100569294050795,0.00591812379234201,1.53189035753343,1.57758620689655
47,0.155722129054442,0.155188351826839,0.155191020712977,0.155172413793103,0.164000228359631,1.59380337404726e-05,1.59380337360071e-05,-4.46545266583921e-15,0.00841146053249848,0.00488489065129319,1.54306181302417,1.57758620689655
48,0.155524791923184,0.155179140877611,0.155180869132839,0.155172413793103,0.164000228359631,6.72708450481466e-06,6.72708450763504e-06,2.8203791569998e-15,0.00551606835521135,0.0032891629172046,1.55439546162208,1.57758620689655
49,0.155325376967872,0.155173531729186,0.155174290955379,0.155172413793103,0.164000228359631,1.11793608460283e-06,1.11793608223443e-06,-2.36840237634491e-15,0.0022484794156442,0.00152815879441753,1.56590189856623,1.57758620689655
50,0.155172413793104,0.155172413793104,0.155172413793104,0.155172413793103,0.164000228359631,1.82575982197212e-30,5.27355936696949e-16,5.27355936696947e-16,1.24835021190493e-15,8.18789480661053e-16,1.57758620689655,1.57758620689655
