"k","Q_subset_mc","Q_bag_inf_mc","Q_bag_G_mc","Q_opt","Q_ave","R_weight_exact_mc","R_bag_inf_mc","R_weight_identity_gap","w_l2_mc","w_max_abs_mc","L_pop_bag_inf","L_pop_opt"
28,0.0086633076234413,0.00452929728972368,0.00454996734139227,0.00450235535820994,0.012690418147514,2.69419315137417e-05,2.69419315137472e-05,5.44472778495064e-18,0.0166434007592115,0.0149343942092131,1.17839013720525,1.37182038082502
29,0.00829068710608046,0.0045188407262797,0.00453769995817871,0.00450235535820994,0.012690418147514,1.64853680697659e-05,1.64853680697666e-05,7.01343280326561e-19,0.0122800950040354,0.0106533163202955,1.18598030872845,1.37182038082502
30,0.00798768397848427,0.00451953277329325,0.00453687352931921,0.00450235535820994,0.012690418147514,1.71774150833163e-05,1.71774150833168e-05,5.14996031930615e-19,0.0128284312546808,0.0108368525998804,1.1936823019319,1.37182038082502
31,0.00767331986284203,0.00451806849215728,0.0045338447490107,0.00450235535820994,0.012690418147514,1.57131339473357e-05,1.57131339473425e-05,6.76609918266735e-18,0.012517200513261,0.0109765744370825,1.20148239564748,1.37182038082502
32,0.0073872073563673,0.00451268676740069,0.00452705937034552,0.00450235535820994,0.012690418147514,1.03314091907479e-05,1.03314091907496e-05,1.70084215808664e-18,0.0100093543063651,0.00882459292688134,1.20938040577917,1.37182038082502
33,0.00711919124736432,0.00450981547969028,0.00452286235852865,0.00450235535820994,0.012690418147514,7.46012148033651e-06,7.46012148034655e-06,1.00339522931744e-17,0.00815980294394929,0.00680449588391965,1.21738606776678,1.37182038082502
34,0.00691708921543313,0.00450992379358011,0.00452195962068937,0.00450235535820994,0.012690418147514,7.56843537017001e-06,7.56843537016993e-06,-7.11507675693612e-20,0.0082794940102846,0.00714956524462171,1.22550210702817,1.37182038082502
35,0.00666307431394939,0.00450758510162981,0.00451836254769141,0.00450235535820994,0.012690418147514,5.22974341986975e-06,5.2297434198741e-06,4.34782011825632e-18,0.00681759995983631,0.00555527887999406,1.23372408103086,1.37182038082502
36,0.00647320973767613,0.0045080986438635,0.00451792419933256,0.00450235535820994,0.012690418147514,5.74328565355614e-06,5.7432856535606e-06,4.45454626961037e-18,0.00730049783737948,0.00615012522908855,1.24206068953937,1.37182038082502
37,0.00629254664017309,0.00450917978157935,0.00451809661587232,0.00450235535820994,0.012690418147514,6.82442336940032e-06,6.82442336940887e-06,8.55079760253216e-18,0.00828822438026705,0.00704627686556084,1.25051142789135,1.37182038082502
38,0.00610066527857612,0.00450712553141575,0.00451509323015155,0.00450235535820994,0.012690418147514,4.7701732058063e-06,4.77017320581023e-06,3.93023287525995e-18,0.00690038856197488,0.00598243435844582,1.25907399980993,1.37182038082502
39,0.00592014187407113,0.00450592818475573,0.0045129992532023,0.00450235535820994,0.012690418147514,3.57282654578054e-06,3.57282654578784e-06,7.29634180764854e-18,0.00560180784913341,0.00427663738488829,1.26775575764007,1.37182038082502
40,0.00575407968390834,0.00450474787516759,0.0045109945342113,0.00450235535820994,0.012690418147514,2.39251695764687e-06,2.39251695765327e-06,6.40145149887437e-18,0.0045031402115317,0.00352503837777068,1.27655811709136,1.37182038082502
41,0.0055924243478864,0.00450440180253798,0.00450984191526472,0.00450235535820994,0.012690418147514,2.04644432803999e-06,2.04644432803738e-06,-2.60886147754325e-18,0.00449657348955846,0.0038198276656454,1.285484654055,1.37182038082502
42,0.00545650215780192,0.00450460838420724,0.00450936785307521,0.00450235535820994,0.012690418147514,2.25302599729489e-06,2.2530259972996e-06,4.71162076910205e-18,0.00469397786385411,0.00388792312155174,1.29453762911486,1.37182038082502
43,0.00531200026612164,0.00450350388984193,0.00450754637172333,0.00450235535820994,0.012690418147514,1.1485316319848e-06,1.1485316319922e-06,7.40052686016082e-18,0.00293437033673072,0.00233244136555213,1.30371731355916,1.37182038082502
44,0.00518879062465884,0.00450390735215736,0.00450733176851986,0.00450235535820994,0.012690418147514,1.55199394740878e-06,1.55199394741724e-06,8.45889452775507e-18,0.00408110292878196,0.00370458688555803,1.31303010746746,1.37182038082502
45,0.00504618490197152,0.00450264402216171,0.00450536172656076,0.00450235535820994,0.012690418147514,2.88663951772765e-07,2.88663951775701e-07,2.93682204680827e-18,0.00142637761679327,0.000945461202837075,1.3224747040004,1.37182038082502
46,0.00492809479730704,0.00450265972888331,0.00450478690422543,0.00450235535820994,0.012690418147514,3.04370673358533e-07,3.0437067337092e-07,1.23867451228509e-17,0.00155034034858513,0.00106201921694776,1.33205787485787,1.37182038082502
47,0.00481887219176423,0.00450262176748977,0.00450420301961114,0.00450235535820994,0.012690418147514,2.6640927982598e-07,2.66409279832749e-07,6.76959319357478e-18,0.0014438449086904,0.00108297614427268,1.34178087433176,1.37182038082502
48,0.00471028671827709,0.00450255113014933,0.00450358980808997,0.00450235535820994,0.012690418147514,1.95771939391756e-07,1.95771939391458e-07,-2.97732080959887e-19,0.00128089044313789,0.000887713052506553,1.35164681512366,1.37182038082502
49,0.0046056740668987,0.00450244961146855,0.00450296573374571,0.00450235535820994,0.012690418147514,9.42532586148231e-08,9.42532586171649e-08,2.34175493158252e-18,0.000886830693159868,0.000608804377319708,1.36165887613999,1.37182038082502
50,0.00450235535820994,0.00450235535820992,0.00450235535820992,0.00450235535820994,0.012690418147514,1.26846192087722e-29,-1.56125112837913e-17,-1.56125112838039e-17,3.28836579284673e-15,1.3392065234541e-15,1.37182038082502,1.37182038082502
